BOARD TTV2_01 -- 100% nominal fluence across whole 10x10 cm p-type sensor - new FanUp design,,,,,,Hybrid,TTV2-01,Sensor,P_1,,,,,
Board TTV2_01,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,12,24054,62,4,0,-100,376,11,6,Bad,,
1,Pedestal,Top,13,-,62,4,0,-100,376,11,6,Bad,,"Too few events, should be 100k"
1,Pedestal,Top,14,-,62,4,0,-100,376,11,6,Bad,,
1,Bias,Top,15,24055,62,4,0,-150,519,11,8,Bad,,
1,Pedestal,Top,16,-,62,4,0,-150,519,11,8,Bad,,
1,Bias,Top,17,24056,62,4,0,-200,650,11,9,Bad,,
1,Pedestal,Top,18,-,62,4,0,-200,650,11,9,Bad,,
1,Bias,Top,19,24057,62,4,0,-250,781,11,9.5,Bad,,
1,Pedestal,Top,20,-,62,4,0,-250,781,11,9,Bad,,
1,Bias,Top,21,-,62,4,0,-270,827,11,9,Bad,,pedestal run set
1,Bias,Top,22,24058,62,4,0,-270,827,11,9,Bad,,
1,Pedestal,Top,23,-,62,4,0,-270,827,11,9,Bad,,
1,Bias,Top,24,24059,62,4,0,-300,880,11,9,Bad,,
1,Pedestal,Top,25,-,62,4,0,-300,880,11,9,Bad,,
1,Bias,Top,26,24060,62,4,0,-350,936,11,9,Bad,,
1,Pedestal,Top,27,-,62,4,0,-350,936,11,9,Bad,,
1,Bias,Top,28,24061,62,4,0,-400,979,11,8,Bad,,No triggers received.. unknown problem but seems to be a telescope issue. restarting
1,Bias,Top,29,24062,62,4,0,-400,979,11,8,Bad,,"Retried, still bad. Power cycle mamba"
1,Bias,Top,30,24063,62,4,0,-400,900,9.5,8,Bad,,Power cycling worked
1,Pedestal,Top,31,-,62,4,0,-400,943,10,9,Bad,,
1,Bias,Top,32,24064,62,4,0,-500,,,,Bad,,
1,Pedestal,Top,,,,,0,-500,,,,Bad,,
,,,,,,,,,,,,,,
1,Bias,Top,524,24350,68,2,0,-100,-611,10,2,Good,,
1,Pedestal,Top,525,,68,2,0,-100,-610,10,2,Good,,
1,Bias,Top,526,24351,68,2,0,-150,-770,10,2,Good,,
1,Pedestal,Top,527,,68,2,0,-150,-774,10,2,Good,,
1,Bias,Top,528,24352,68,2,0,-200,-904,10,2,Good,,
1,Pedestal,Top,529,,68,2,0,-200,-908,10,2,Good,,
1,Bias,Top,530,24353,68,2,0,-250,-980,10,2,Good,,
1,Pedestal,Top,531,,68,2,0,-250,-994,10,2,Good,,
1,Bias,Top,532,24355,68,2,0,-270,-1007,10,2,Good,,
1,Pedestal,Top,533,,68,2,0,-270,-1006,10,2,Good,,
1,Bias,Top,534,24356,68,2,0,-300,-1024,10,2,Good,,
1,Pedestal,Top,535,,68,2,0,-300,-1029,10,2,Good,,
1,Bias,Top,536,24357,68,2,0,-350,-1057,10,2,Good,,
1,Pedestal,Top,537,,68,2,0,-350,-1074,10,2,Good,,
1,Bias,Top,538,24358,68,2,0,-400,-1113,10,2,Good,,
1,Pedestal,Top,539,,68,2,0,-400,-1151,10,2,Good,,
1,Bias,Top,,,68,2,0,-450,,10,2,,,
1,Pedestal,Top,,,68,2,0,-450,,10,2,,,
,,,,,,,,,,,,,,
2,Bias,Top,540,24359,58,2,0,-100,-737,10,2,Good,,
2,Pedestal,Top,541,,58,2,0,-100,-737,10,2,Good,,
2,Bias,Top,542,24360,58,2,0,-150,-811,10,2,Good,,
2,Pedestal,Top,543,,58,2,0,-150,-811,10,2,Good,,
2,Bias,Top,544,24361,58,2,0,-200,-943,10,2,Good,,
2,Pedestal,Top,545,,58,2,0,-200,-943,10,2,Good,,
2,Bias,Top,546,24362,58,2,0,-250,-991,10,2,Good,,
2,Pedestal,Top,547,,58,2,0,-250,-991,10,2,Good,,
2,Bias,Top,548,24363,58,2,0,-270,-1020,10,2,Good,,
2,Pedestal,Top,549,,58,2,0,-270,-1020,10,2,Good,,
2,Bias,Top,550,24364,58,2,0,-300,-1036,10,2,Good,,
2,Pedestal,Top,551,,58,2,0,-300,-1036,10,2,Good,,
2,Bias,Top,552,24365,58,2,0,-350,-1072,10,2,Good,,
2,Pedestal,Top,553,,58,2,0,-350,-1072,10,2,Good,,
2,Bias,Top,,,58,2,0,-400,,10,2,,Voltage dropped and current too high,
2,Pedestal,Top,,,58,2,0,-400,,10,2,,,
2,Bias,Top,,,58,2,0,-500,,,,,,
2,Pedestal,Top,,,58,2,0,-500,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Bias,Top,554,24366,50,2,0,-100,-655,10,2,Good,,
3,Pedestal,Top,555,,50,2,0,-100,-655,10,2,Good,,
3,Bias,Top,556,24367,50,2,0,-150,-803,10,2,Good,,
3,Pedestal,Top,557,,50,2,0,-150,-803,10,2,Good,,
3,Bias,Top,558,24368,50,2,0,-200,-930,10,2,Good,,
3,Pedestal,Top,559,,50,2,0,-200,-930,10,2,Good,,
3,Bias,Top,560,24369,50,2,0,-250,-1002,10,2,Good,,
3,Pedestal,Top,561,,50,2,0,-250,-1002,10,2,Good,,
3,Bias,Top,562,24370,50,2,0,-270,-1031,10,2,Good,,
3,Pedestal,Top,563,,50,2,0,-270,-1031,10,2,Good,,
3,Bias,Top,564,24371,50,2,0,-300,-1070,10,2,Good,,
3,Pedestal,Top,565,,50,2,0,-300,-1070,10,2,Good,,
3,Bias,Top,566,24372,50,2,0,-350,-1227,10,2,Good,,
3,Pedestal,Top,567,,50,2,0,-350,-1227,10,2,Good,,
3,Bias,Top,,,50,2,0,-400,,10,2,,,
3,Pedestal,Top,,,50,2,0,-400,,10,2,,,
3,Bias,Top,,,50,2,0,-500,,10,2,,,
3,Pedestal,Top,,,50,2,0,-500,,10,2,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Bias,Top,568,24373,33,2,0,-100,-623,10,2,Good,,
4,Pedestal,Top,569,,33,2,0,-100,-623,10,2,Good,,
4,Bias,Top,570,24374,33,2,0,-150,-789,10,2,Good,,
4,Pedestal,Top,571,,33,2,0,-150,-789,10,2,Good,,
4,Bias,Top,572,24375,33,2,0,-200,-927,10,2,Good,,
4,Pedestal,Top,573,,33,2,0,-200,-927,10,2,Good,,
4,Bias,Top,574,24376,33,2,0,-250,-1007,10,2,Good,,
4,Pedestal,Top,575,,33,2,0,-250,-1007,10,2,Good,,
4,Bias,Top,576,24377,33,2,0,-270,-1036,10,2,Good,,
4,Pedestal,Top,577,,33,2,0,-270,-1036,10,2,Good,,
4,Bias,Top,578,24378,33,2,0,-300,-1091,10,2,Good,,
4,Pedestal,Top,579,,33,2,0,-300,-1091,10,2,Good,,
4,Bias,Top,580,24379,33,2,0,-350,-1186,10,2,Good,Strip around 50 very noisy,
4,Pedestal,Top,581,,33,2,0,-350,-1186,10,2,Good,,
4,Bias,Top,,,33,2,0,-400,,10,2,,,
4,Pedestal,Top,,,33,2,0,-400,,10,2,,,
4,Bias,Top,,,33,2,0,-500,,10,2,,,
4,Pedestal,Top,,,33,2,0,-500,,10,2,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Bias,Top,582,24380,27,2,0,-100,-620,10,2,Good,,
5,Pedestal,Top,583,,27,2,0,-100,-620,10,2,Good,,
5,Bias,Top,584,24381,27,2,0,-150,-780,10,2,Bad,Kepler stopped first,
5,Bias,Top,585,24382,27,2,0,-150,-780,10,2,Good,,
5,Pedestal,Top,586,,27,2,0,-150,-780,10,2,Good,,
5,Bias,Top,587,24383,27,2,0,-200,-916,10,2,Good,,
5,Pedestal,Top,588,,27,2,0,-200,-916,10,2,Good,,
5,Bias,Top,589,24384,27,2,0,-250,-1000,10,2,Good,,
5,Pedestal,Top,590,,27,2,0,-250,-1000,10,2,Good,,
5,Bias,Top,591,24385,27,2,0,-270,-1035,10,2,Good,,
5,Pedestal,Top,592,,27,2,0,-270,-1035,10,2,Good,,
5,Bias,Top,593,24386,27,2,0,-300,-1088,10,2,Bad,Kepler issue,
5,Bias,Top,594,24387,27,2,0,-300,-1088,10,2,Good,,
5,Pedestal,Top,595,,27,2,0,-300,-1088,10,2,Good,,
5,Bias,Top,596,24388,27,2,0,-350,-1170,10,2,Good,,
5,Pedestal,Top,597,,27,2,0,-350,-1170,10,2,Good,,
5,Bias,Top,,,27,2,0,-400,,10,2,,,
5,Pedestal,Top,,,27,2,0,-400,,10,2,,,
5,Bias,Top,,,27,2,0,-500,,10,2,,,
5,Pedestal,Top,,,27,2,0,-500,,10,2,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Bias,Top,598,24389,23,2,0,-100,-620,10,2,Good,,
6,Pedestal,Top,599,,23,2,0,-100,-620,10,2,Good,,
6,Bias,Top,600,24390,23,2,0,-150,-773,10,2,Bad,Kepler issue,
6,Bias,Top,601,24391,23,2,0,-150,-773,10,2,Good,,
6,Pedestal,Top,602,,23,2,0,-150,-773,10,2,Good,,
6,Bias,Top,603,24392,23,2,0,-200,-920,10,2,Good,,
6,Pedestal,Top,604,,23,2,0,-200,-920,10,2,Good,,
6,Bias,Top,605,24393,23,2,0,-250,-1008,10,2,Good,,
6,Pedestal,Top,606,,23,2,0,-250,-1008,10,2,Good,,
6,Bias,Top,607,24394,23,2,0,-270,-1034,10,2,Good,,
6,Pedestal,Top,608,,23,2,0,-270,-1034,10,2,Good,,
6,Bias,Top,609,24395,23,2,0,-300,-1080,10,2,Good,,
6,Pedestal,Top,610,,23,2,0,-300,-1080,10,2,Good,,
6,Bias,Top,611,24396,23,2,0,-350,-1157,10,2,Bad,,
6,Bias,Top,612,24397,23,2,0,-350,-1157,10,2,Good,,
6,Pedestal,Top,613,,23,2,0,-350,-1157,10,2,Good,,
6,Bias,Top,,,23,2,0,-400,,10,2,,,
6,Pedestal,Top,,,23,2,0,-400,,10,2,,,
6,Bias,Top,,,23,2,0,-500,,10,2,,,
6,Pedestal,Top,,,23,2,0,-500,,10,2,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,614,,68,2,-5,-300,-1109,10,2,Good,,
1,Angle,Top,615,24398,68,2,-5,-300,-1109,10,2,Good,,
1,Angle,Top,616,24399,68,2,5,-300,-1109,10,2,Good,,
1,Angle,Top,617,24400,68,2,15,-300,-1109,10,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,618,,58,2,-5,-300,-1046,10,2,Good,,
2,Angle,Top,619,24401,58,2,-5,-300,-1046,10,2,Good,,
2,Angle,Top,620,24402,58,2,5,-300,-1046,10,2,Good,,
2,Angle,Top,621,24403,58,2,15,-300,-1046,10,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Top,622,,50,2,-5,-300,-1040,10,2,Good,,
3,Pedestal,Top,623,,50,2,-5,-300,-1040,10,2,Bad,Taken another Pedestal for error,
3,Angle,Top,624,24404,50,2,-5,-300,-1040,10,2,Good,,
3,Angle,Top,625,24405,50,2,5,-300,-1040,10,2,Bad,Too few events,
3,Angle,Top,626,24406,50,2,15,-300,-1040,10,2,Bad,Mamba stucked,
3,Angle,Top,627,24407,50,2,5,-300,-1097,10,2,Good,,
3,Angle,Top,628,24408,50,2,15,-300,-1097,10,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Top,629,,33,2,-5,-300,-1093,10,2,Good,,
4,Angle,Top,630,24409,33,2,-5,-300,-1093,10,2,Good,,
4,Angle,Top,631,24410,33,2,5,-300,-1093,10,2,Good,,
4,Angle,Top,632,24411,33,2,15,-300,-1093,10,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Pedestal,Top,633,,27,2,-5,-300,-1102,10,2,Good,,
5,Angle,Top,634,24412,27,2,-5,-300,-1102,10,2,Good,,
5,Angle,Top,635,24413,27,2,5,-300,-1102,10,2,Good,,
5,Angle,Top,636,24414,27,2,15,-300,-1102,10,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Pedestal,Top,637,,23,2,-5,-300,-1117,10,2,Good,,
