BOARD TTV1_02 -- 20x nominal fluence: P-type mini - new FanIn design,,,,,,Hybrid,TTV1-02,Sensor,1 mini 2,,,,,
Board TTV1_02,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,300,24219,46,2,0,-100,-130,1.4,2,Good,,
1,Pedestal,Top,301,,46,2,0,-100,-130,1.4,2,Good,,
1,Bias,Top,302,24220,46,2,0,-150,-190,1.4,2,Good,,
1,Pedestal,Top,303,,46,2,0,-150,-190,1.4,2,Good,,
1,Bias,Top,304,24221,46,2,0,-200,-261,1.4,2,Good,,
1,Pedestal,Top,305,,46,2,0,-200,-261,1.4,2,Good,,
1,Bias,Top,306,24222,46,2,0,-250,-358,1.4,2,Good,,current labeled -350 in MAMBA
1,Pedestal,Top,307,,46,2,0,-250,-358,1.4,2,Good,,
1,Bias,Top,308,24223,46,2,0,-270,-397,1.4,2,Good,,
1,Pedestal,Top,309,,46,2,0,-270,-397,1.4,2,Good,,
1,Bias,Top,310,24224,46,2,0,-300,-467,1.4,2,Good,,
1,Pedestal,Top,311,,46,2,0,-300,-467,1.4,2,Good,,
1,Bias,Top,312,24225,46,2,0,-350,-645,1.4,2,Good,,
1,Pedestal,Top,313,,46,2,0,-350,-645,1.4,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,318,24229,40,2,0,-100,-133,1.4,2,Good,,
2,Pedestal,Top,319,,40,2,0,-100,-133,1.4,2,Good,,
2,Bias,Top,320,24230,40,2,0,-150,-190,1.4,2,Good,,
2,Pedestal,Top,321,,40,2,0,-150,-190,1.4,2,Good,,
2,Bias,Top,322,24231,40,2,0,-200,-262,1.4,2,Good,,
2,Pedestal,Top,323,,40,2,0,-200,-262,1.4,2,Good,,
2,Bias,Top,324,24232,40,2,0,-250,-350,1.4,2,Good,,
2,Pedestal,Top,325,,40,2,0,-250,-350,1.4,2,Good,,
2,Bias,Top,326,24233,40,2,0,-270,-397,1.4,2,Good,,
2,Pedestal,Top,327,,40,2,0,-270,-397,1.4,2,Good,,
2,Bias,Top,328,24234,40,2,0,-300,-467,1.4,2,Good,,
2,Pedestal,Top,329,,40,2,0,-300,-467,1.4,2,Good,,
2,Bias,Top,330,24235,40,2,0,-350,-650,1.4,2,Good,,
2,Pedestal,Top,331,,40,2,0,-350,-650,1.4,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,314,,46,2,-5,-300,-494,1.4,2,Good,,
1,Angle,Top,315,24226,46,2,-5,-300,-494,1.4,2,Good,,
1,Angle,Top,316,24227,46,2,5,-300,-469,1.4,2,Good,,
1,Angle,Top,317,24228,46,2,15,-300,-470,1.4,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,332,,40,2,-5,-300,-490,1.4,2,Good,,
2,Angle,Top,333,24236,40,2,-5,-300,-490,1.4,2,Good,,
2,Angle,Top,334,24237,40,2,5,-300,-470,1.4,2,Good,,
2,Angle,Top,335,24238,40,2,15,-300,-468,1.4,2,Good,,
