BOARD TTV1_01 -- 25% nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV1-01,Sensor,1 mini 6,,,,,
Board TTV1_01,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,224,24175,46,2,0,-100,-14,0.1,2,Good,,runs 224 and 225 don't have Adam Dendek in the list of shifters
1,Pedestal,Top,225,,46,2,0,-100,-14,0.9,2,Good,,temp 0.1 in MAMBA
1,Bias,Top,226,24176,46,2,0,-150,-20,1,2,Good,,
1,Pedestal,Top,227,,46,2,0,-150,-20,1.3,2,Good,,
1,Bias,Top,228,24177,46,2,0,-200,-26,1.3,2,Good,,
1,Pedestal,Top,229,,46,2,0,-200,-26,1.5,2,Good,,temp 1.3 in MAMBA
1,Bias,Top,230,24178,46,2,0,-250,-32,1.5,2,Good,,
1,Pedestal,Top,231,,46,2,0,-250,-32,1.5,2,Good,,
1,Bias,Top,232,24179,46,2,0,-300,-38,1.8,2,Good,,
1,Pedestal,Top,233,,46,2,0,-300,-38,1.9,2,Good,,
1,Bias,Top,234,24180,46,2,0,-400,-51,2,2,Good,,
1,Pedestal,Top,235,,46,2,0,-400,-51,2,2,Good,,
1,Bias,Top,236,24181,46,2,0,-500,-68,2,2,Good,,
1,Pedestal,Top,237,,46,2,0,-500,-68,2,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,242,24185,40,2,0,-100,-19,2.2,2,Good,,
2,Pedestal,Top,243,,40,2,0,-100,-19,2.2,2,Good,,
2,Bias,Top,244,24186,40,2,0,-150,-25,2.2,2,Good,,
2,Pedestal,Top,245,,40,2,0,-150,-25,2.2,2,Good,,
2,Bias,Top,246,24187,40,2,0,-200,-32,2.2,2,Good,,
2,Pedestal,Top,247,,40,2,0,-200,-32,2.2,2,Good,,
2,Bias,Top,248,24188,40,2,0,-250,-38,2.2,2,Good,,
2,Pedestal,Top,249,,40,2,0,-250,-38,2.2,2,Good,,
2,Bias,Top,250,24189,40,2,0,-300,-46,2.3,2,Good,,
2,Pedestal,Top,251,,40,2,0,-300,-46,2.3,2,Good,,
2,Bias,Top,252,24190,40,2,0,-400,-69,2.3,2,Good,,
2,Pedestal,Top,253,,40,2,0,-400,-69,2.3,2,Good,,
2,Bias,Top,254,24191,40,2,0,-500,-121,2.3,2,Good,,
2,Pedestal,Top,255,,40,2,0,-500,-121,2.3,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,238,,46,2,-5,-300,-42,2.1,2,Good,,
1,Angle,Top,239,24182,46,2,-5,-300,-42,2.1,2,Good,,
1,Angle,Top,240,24183,46,2,5,-300,-42,2.1,2,Good,,
1,Angle,Top,241,24184,46,2,15,-300,-42,2.2,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,256,,40,2,-5,-300,-76,2.4,2,Good,,
2,Angle,Top,257,24192,40,2,-5,-300,-76,2.4,2,Good,,
2,Angle,Top,258,24193,40,2,5,-300,-74,2.3,2,Good,,
2,Angle,Top,259,24194,40,2,15,-300,-74,2.3,2,Good,,
