BOARD TTV2_06 -- 100% nominal fluence: P-type mini - new FanIn design,,,,,,Hybrid,TTV2-06,Sensor,3 mini 7,,,,,
Board TTV2_06,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,450,24307,75,2,0,-150,-29,1.5,2,Good,,
1,Pedestal,Top,451,,75,2,0,-150,-29,1.5,2,Good,,
1,Bias,Top,452,24308,75,2,0,-200,-33,1.5,2,Good,,
1,Pedestal,Top,453,,75,2,0,-200,-33,1.5,2,Good,,
1,Bias,Top,454,24309,75,2,0,-250,-34,1.5,2,Good,,
1,Pedestal,Top,455,,75,2,0,-250,-34,1.5,2,Good,,
1,Bias,Top,456,24310,75,2,0,-300,-35,1.5,2,Good,,
1,Pedestal,Top,457,,75,2,0,-300,-35,1.5,2,Good,,
1,Bias,Top,458,24311,75,2,0,-400,-35,1.5,2,Good,,
1,Pedestal,Top,459,,75,2,0,-400,-35,1.5,2,Good,,
1,Bias,Top,460,24312,75,2,0,-500,-35,1.5,2,Good,,
1,Pedestal,Top,461,,75,2,0,-500,-35,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,466,24316,69,2,0,-150,-28,1.5,2,Good,,
2,Pedestal,Top,467,,69,2,0,-150,-28,1.5,2,Good,,
2,Pedestal,Top,468,,69,2,0,-150,,1.5,2,Bad,Taken another pedestal as mistake: marked as bad (also the xml info are wrong and correspond to run 469),
2,Bias,Top,469,24317,69,2,0,-200,-32,1.5,2,Good,,
2,Pedestal,Top,470,,69,2,0,-200,-32,1.5,2,Good,,
2,Bias,Top,471,24318,69,2,0,-250,-34,1.5,2,Good,,
2,Pedestal,Top,472,,69,2,0,-250,-34,1.5,2,Good,,
2,Bias,Top,473,24319,69,2,0,-300,-34,1.5,2,Good,,
2,Pedestal,Top,474,,69,2,0,-300,-34,1.5,2,Good,,
2,Bias,Top,475,24320,69,2,0,-400,-35,1.5,2,Good,,
2,Pedestal,Top,476,,69,2,0,-400,-35,1.5,2,Good,,
2,Bias,Top,477,24321,69,2,0,-500,-37,1.5,2,Good,,
2,Pedestal,Top,478,,69,2,0,-500,-37,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,462,,75,2,-5,-300,-34,1.5,2,Good,,
1,Angle,Top,463,24313,75,2,-5,-300,-34,1.5,2,Good,,
1,Angle,Top,464,24314,75,2,5,-300,-34,1.5,2,Good,,
1,Angle,Top,465,24315,75,2,15,-300,-34,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,479,,69,2,-5,-300,-34,1.5,2,Good,,
2,Angle,Top,480,24322,69,2,-5,-300,-34,1.5,2,Bad,Mamba: Transfer aborted,
2,Angle,Top,481,24323,69,2,-5,-300,-34,1.5,2,Good,,
2,Angle,Top,482,24324,69,2,5,-300,-34,1.5,2,Good,,
2,Angle,Top,483,24325,69,2,15,-300,-34,1.5,2,Good,,
