BOARD TTV2_02 -- 200% stripe on opposite side: P-type full size - new FanUP design,,,,,,Hybrid,TTV2-02,Sensor,P_4,,,,,
Board TTV2_02,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,32,24066,65,3,0,-100,-23,3.6,2,Good,,
1,Pedestal,Top,33,,65,3,0,-100,-23,3.6,2,Good,,
1,Bias,Top,34,24067,65,3,0,-150,-33,3.5,2,Good,,
1,Pedestal,Top,35,,65,3,0,-150,-33,3.5,2,Good,,
1,Bias,Top,36,24068,65,3,0,-200,-41,3.5,2,Good,,
1,Pedestal,Top,37,,65,3,0,-200,-41,3.5,2,Good,,
1,Bias,Top,38,24069,65,3,0,-250,-38,3.5,2,Good,,
1,Pedestal,Top,39,,65,3,0,-250,-38,3.5,2,Good,,
1,Bias,Top,40,24070,65,3,0,-270,-50,3.5,2,Bad,,too few events
1,Bias,Top,41,24071,65,3,0,-270,-50,3.5,2,Good,,
1,Pedestal,Top,42,,65,3,0,-270,-50,3.5,2,Good,,
1,Bias,Top,43,24072,65,3,0,-300,-53,3.5,2,Good,,
1,Pedestal,Top,44,,65,3,0,-300,-53,3.5,2,Good,,
1,Bias,Top,45,24073,65,3,0,-350,-55,3.5,2,Good,,
1,Pedestal,Top,46,,65,3,0,-350,-55,3.5,2,Good,,
1,Bias,Top,47,24074,65,3,0,-400,-57,3.5,2,Good,,
1,Pedestal,Top,48,,65,3,0,-400,-57,3.5,2,Good,,
1,Bias,Top,49,24075,65,3,0,-500,-59,3.5,2,Good,,
1,Pedestal,Top,50,,65,3,0,-500,-59,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,67,24084,55,3,0,-100,-23,3.5,2,Good,,
2,Pedestal,Top,68,,55,3,0,-100,-23,3.5,2,Good,,
2,Bias,Top,65,24083,55,3,0,-150,-32,3.5,2,Good,,
2,Pedestal,Top,66,,55,3,0,-150,-32,3.5,2,Good,,
2,Bias,Top,63,24082,55,3,0,-200,-40,3.5,2,Good,,
2,Pedestal,Top,64,,55,3,0,-200,-40,3.5,2,Good,,
2,Bias,Top,61,24081,55,3,0,-250,-47,3.5,2,Good,,
2,Pedestal,Top,62,,55,3,0,-250,-47,3.5,2,Good,,
2,Bias,Top,59,24080,55,3,0,-270,-49,3.5,2,Good,,
2,Pedestal,Top,60,,55,3,0,-270,-49,3.5,2,Good,,
2,Bias,Top,57,24079,55,3,0,-300,-52,3.5,2,Good,,
2,Pedestal,Top,58,,55,3,0,-300,-52,3.5,2,Good,,
2,Bias,Top,55,24078,55,3,0,-350,-54,3.5,2,Good,,
2,Pedestal,Top,56,,55,3,0,-350,-54,3.5,2,Good,,
2,Bias,Top,53,24077,55,3,0,-400,-55,3.5,2,Good,,
2,Pedestal,Top,54,,55,3,0,-400,-55,3.5,2,Good,,
2,Bias,Top,51,24076,55,3,0,-500,-58,3.5,2,Good,,
2,Pedestal,Top,52,,55,3,0,-500,-58,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Bias,Top,69,24085,47,3,0,-100,-23,3.5,2,Good,Bad,actually bad--too few events
3,Bias,Top,70,24086,47,3,0,-100,-23,3.5,2,Good,,
3,Pedestal,Top,71,,47,3,0,-100,-23,3.5,2,Good,,
3,Bias,Top,72,24087,47,3,0,-150,-33,3.5,2,Good,,see elog 534
3,Pedestal,Top,73,,47,3,0,-150,-33,3.5,2,Good,,see elog 534
3,Bias,Top,74,24088,47,3,0,-200,-41,3.5,2,Good,,
3,Pedestal,Top,75,,47,3,0,-200,-41,3.5,2,Good,,
3,Bias,Top,76,24089,47,3,0,-250,-49,3.5,2,Good,,
3,Pedestal,Top,77,,47,3,0,-250,-49,3.5,2,Good,,
3,Bias,Top,78,24090,47,3,0,-270,-51,3.5,2,Good,,
3,Pedestal,Top,79,,47,3,0,-270,-51,3.5,2,Good,,
3,Bias,Top,80,24091,47,3,0,-300,-53,3.5,2,Good,,
3,Pedestal,Top,81,,47,3,0,-300,-53,3.5,2,Good,,
3,Bias,Top,82,24092,47,3,0,-350,-55,3.5,2,Good,,
3,Pedestal,Top,83,,47,3,0,-350,-55,3.5,2,Good,,
3,Bias,Top,84,24093,47,3,0,-400,-56,3.5,2,Good,,
3,Pedestal,Top,85,,47,3,0,-400,-56,3.5,2,Good,,
3,Bias,Top,86,24094,47,3,0,-500,-57,3.5,2,Good,,
3,Pedestal,Top,87,,47,3,0,-500,-57,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Bias,Top,,,,,0,-100,,,,,,
4,Pedestal,Top,,,,,0,-100,,,,,,
4,Bias,Top,,,,,0,-150,,,,,,
4,Pedestal,Top,,,,,0,-150,,,,,,
4,Bias,Top,,,,,0,-200,,,,,,
4,Pedestal,Top,,,,,0,-200,,,,,,
4,Bias,Top,,,,,0,-250,,,,,,
4,Pedestal,Top,,,,,0,-250,,,,,,
4,Bias,Top,,,,,0,-270,,,,,,
4,Pedestal,Top,,,,,0,-270,,,,,,
4,Bias,Top,,,,,0,-300,,,,,,
4,Pedestal,Top,,,,,0,-300,,,,,,
4,Bias,Top,,,,,0,-350,,,,,,
4,Pedestal,Top,,,,,0,-350,,,,,,
4,Bias,Top,,,,,0,-400,,,,,,
4,Pedestal,Top,,,,,0,-400,,,,,,
4,Bias,Top,,,,,0,-500,,,,,,
4,Pedestal,Top,,,,,0,-500,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Bias,Top,,,,,0,-100,,,,,,
5,Pedestal,Top,,,,,0,-100,,,,,,
5,Bias,Top,,,,,0,-150,,,,,,
5,Pedestal,Top,,,,,0,-150,,,,,,
5,Bias,Top,,,,,0,-200,,,,,,
5,Pedestal,Top,,,,,0,-200,,,,,,
5,Bias,Top,,,,,0,-250,,,,,,
5,Pedestal,Top,,,,,0,-250,,,,,,
5,Bias,Top,,,,,0,-270,,,,,,
5,Pedestal,Top,,,,,0,-270,,,,,,
5,Bias,Top,,,,,0,-300,,,,,,
5,Pedestal,Top,,,,,0,-300,,,,,,
5,Bias,Top,,,,,0,-350,,,,,,
5,Pedestal,Top,,,,,0,-350,,,,,,
5,Bias,Top,,,,,0,-400,,,,,,
5,Pedestal,Top,,,,,0,-400,,,,,,
5,Bias,Top,,,,,0,-500,,,,,,
5,Pedestal,Top,,,,,0,-500,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Bias,Top,,,,,0,-100,,,,,,
6,Pedestal,Top,,,,,0,-100,,,,,,
6,Bias,Top,,,,,0,-150,,,,,,
6,Pedestal,Top,,,,,0,-150,,,,,,
6,Bias,Top,,,,,0,-200,,,,,,
6,Pedestal,Top,,,,,0,-200,,,,,,
6,Bias,Top,,,,,0,-250,,,,,,
6,Pedestal,Top,,,,,0,-250,,,,,,
6,Bias,Top,,,,,0,-270,,,,,,
6,Pedestal,Top,,,,,0,-270,,,,,,
6,Bias,Top,,,,,0,-300,,,,,,
6,Pedestal,Top,,,,,0,-300,,,,,,
6,Bias,Top,,,,,0,-350,,,,,,
6,Pedestal,Top,,,,,0,-350,,,,,,
6,Bias,Top,,,,,0,-400,,,,,,
6,Pedestal,Top,,,,,0,-400,,,,,,
6,Bias,Top,,,,,0,-500,,,,,,
6,Pedestal,Top,,,,,0,-500,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,96,,65,3,-5,-300,-52,3.5,2,Good,,
1,Angle,Top,97,24101,65,3,-5,-300,-52,3.5,2,Good,,
1,Angle,Top,98,24102,65,3,5,-300,-52,3.5,2,Good,,
1,Angle,Top,99,24103,65,3,15,-300,-52,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,92,,55,3,-5,-300,-52,3.5,2,Good,,labeled as sector 3 in MAMBA GUI--position parameters correct
2,Angle,Top,93,24098,55,3,-5,-300,-52,3.5,2,Good,,labeled as sector 3 in MAMBA GUI--position parameters correct
2,Angle,Top,94,24099,55,3,5,-300,-52,3.5,2,Good,,labeled as sector 3 in MAMBA GUI--position parameters correct
2,Angle,Top,95,24100,55,3,15,-300,-52,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Top,88,,47,3,-5,-300,-52,3.5,2,Good,,
3,Angle,Top,89,24095,47,3,-5,-300,-52,3.5,2,Good,,
3,Angle,Top,90,24096,47,3,5,-300,-52,3.5,2,Good,,
3,Angle,Top,91,24097,47,3,15,-300,-52,3.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Top,,,,,-5,-300,,,,,,
4,Angle,Top,,,,,-5,-300,,,,,,
4,Angle,Top,,,,,5,-300,,,,,,
4,Angle,Top,,,,,15,-300,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Pedestal,Top,,,,,-5,-300,,,,,,
5,Angle,Top,,,,,-5,-300,,,,,,
5,Angle,Top,,,,,5,-300,,,,,,
5,Angle,Top,,,,,15,-300,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Pedestal,Top,,,,,-5,-300,,,,,,
6,Angle,Top,,,,,-5,-300,,,,,,
6,Angle,Top,,,,,5,-300,,,,,,
6,Angle,Top,,,,,15,-300,,,,,,
