BOARD TTV1_02 -- 20x nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV1-02,Sensor,4 mini 1,,,,,
Board TTV1_02,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,260,24196,74,2,0,-100,-185,1.8,2,Good,,
1,Pedestal,Top,261,-,74,2,0,-100,-180,1.8,2,Good,,
1,Bias,Top,262,24197,74,2,0,-150,-250,1.8,2,Good,,
1,Pedestal,Top,263,-,74,2,0,-150,-250,1.4,2,Good,,
1,Bias,Top,264,24198,74,2,0,-200,-330,1.4,2,Good,,
1,Pedestal,Top,265,-,74,2,0,-200,-327,1.4,2,Good,,
1,Bias,Top,266,24199,74,2,0,-250,-416,1.4,2,Good,,
1,Pedestal,Top,267,-,74,2,0,-250,-416,1.4,2,Good,,
1,Bias,Top,268,24200,74,2,0,-270,-430,1.3,2,Good,,
1,Pedestal,Top,269,-,74,2,0,-270,-465,1.3,2,Good,,
1,Bias,Top,270,24201,74,2,0,-300,-530,1.3,2,Good,,
1,Pedestal,Top,271,-,74,2,0,-300,-540,1.3,2,Good,,
1,Bias,Top,272,24202,74,2,0,-350,-770,1.3,2,Bad,,Mamba threw 'transfer aborted'
1,Bias,Top,273,24203,74,2,0,-350,-750,1.3,2,Good,,Current at -400V appeared to be in breakdown. Stopping at 350 instead
1,Pedestal,Top,274,-,74,2,0,-350,-734,1.3,2,Good,,
1,Bias,Top,,,74,2,0,-500,,1.3,2,,Current too high. ,
1,Pedestal,Top,,-,74,2,0,-500,,1.3,2,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,280,24207,69,2,0,-100,-159,1.4,2,Good,,
2,Pedestal,Top,281,-,69,2,0,-100,-150,1.4,2,Good,,
2,Bias,Top,282,24208,69,2,0,-150,-212,1.2,2,Good,,
2,Pedestal,Top,283,-,69,2,0,-150,-215,1.2,2,Good,,
2,Bias,Top,284,24209,69,2,0,-200,-288,1.2,2,Good,,
2,Pedestal,Top,285,-,69,2,0,-200,-291,1.2,2,Good,,
2,Bias,Top,286,24210,69,2,0,-250,-377,1.2,2,Good,,
2,Pedestal,Top,287,-,69,2,0,-250,-386,1.2,2,Good,,
2,Bias,Top,288,24211,69,2,0,-270,-425,1.2,2,Good,,
2,Pedestal,Top,289,-,69,2,0,-270,-430,1.2,2,Good,,
2,Bias,Top,290,24212,69,2,0,-300,-490,1.2,2,Good,,
2,Pedestal,Top,291,-,69,2,0,-300,-504,1.2,2,Good,,
2,Bias,Top,292,24213,69,2,0,-350,-690,1.3,2,Bad,,No beam for ~40min
2,Bias,Top,293,24214,69,2,0,-350,-650,1.5,2,Good,,
2,Pedestal,Top,294,-,69,2,0,-350,-650,1.5,2,Good,,
2,Bias,Top,,,69,2,0,-400,,,,,Current too high. ,
2,Pedestal,Top,,,69,2,0,-400,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,275,-,74,2,-5,-300,-540,1.3,2,Bad,angle not set,
1,Pedestal,Top,276,-,74,2,-5,-300,-520,1.3,2,Good,,
1,Angle,Top,277,24204,74,2,-5,-300,-520,1.3,2,Good,,
1,Angle,Top,278,24205,74,2,5,-300,-512,1.3,2,Good,,
1,Angle,Top,279,24206,74,2,15,-300,-512,1.4,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,295,-,69,2,-5,-300,-480,1.5,2,Good,,
2,Angle,Top,296,24215,69,2,-5,-300,-470,1.5,2,Good,,
2,Angle,Top,297,24216,69,2,5,-300,-465,1.5,2,Bad,,Telescope plane error
2,Angle,Top,298,24217,69,2,5,-300,-465,1.5,2,Good,,
2,Angle,Top,299,24218,69,2,15,-300,-465,1.5,2,Good,,
