BOARD FIM3 -- 100% of max nominal fluence - FanIn design,,,,,,Hybrid,TTV2-03,Sensor,3 mini 7,,,,,
Board FIM3,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,714,21462,42,2,0,50,26.3,5,3.9,good,,
1,Pedestal,Top,715,0,42,2,0,50,26.3,5,3.9,good,,
1,Bias,Top,716,21463,42,2,0,100,33.9,5,3.9,good,,
1,Pedestal,Top,717,0,42,2,0,100,33.9,5,3.9,good,,
1,Bias,Top,718,21464,42,2,0,150,36.7,5,3.9,good,,
1,Pedestal,Top,719,0,42,2,0,150,36.7,5,3.9,good,,
1,Bias,Top,720,21465,42,2,0,200,38.3,5,4,good,,
1,Pedestal,Top,721,0,42,2,0,200,38.3,5,4,good,,
1,Bias,Top,722,21466,42,2,0,300,40.1,5,4,good,,
1,Pedestal,Top,723,0,42,2,0,300,40.1,5,4,good,,
1,Bias,Top,724,21467,42,2,0,400,41.9,5,4,good,,
1,Pedestal,Top,725,0,42,2,0,400,41.9,5,4,good,,
1,Bias,Top,726,21468,42,2,0,500,43.9,5,4,good,,
1,Pedestal,Top,727,0,42,2,0,500,43.9,5,4,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,733,21473,37,2,0,50,26.7,5.1,4.3,good,,
2,Pedestal,Top,734,0,37,2,0,50,26.7,5.1,4.3,good,,
2,Bias,Top,735,21474,37,2,0,100,34.2,5.1,4.3,good,,
2,Pedestal,Top,736,0,37,2,0,100,34.2,5.1,4.3,good,,
2,Bias,Top,737,21475,37,2,0,150,36.9,5.1,4.3,good,,
2,Pedestal,Top,738,0,37,2,0,150,36.9,5.1,4.3,good,,
2,Bias,Top,739,21476,37,2,0,200,38.2,5.1,4.3,good,,
2,Pedestal,Top,740,0,37,2,0,200,38.2,5.1,4.3,good,,
2,Bias,Top,741,21477,37,2,0,300,40,5.1,4.3,good,,
2,Pedestal,Top,742,0,37,2,0,300,40,5.1,4.3,good,,
2,Bias,Top,743,21478,37,2,0,400,41.7,5.1,4.3,good,,
2,Pedestal,Top,744,0,37,2,0,400,41.7,5.1,4.3,good,,
2,Bias,Top,745,21479,37,2,0,500,44.2,5.1,4.3,good,,
2,Pedestal,Top,746,0,37,2,0,500,44.2,5.1,4.3,good,,
,,,,,,,,,,,,,,
1,Pedestal,Top,728,0,42,2,-5,400,42.5,5.1,4,good,,
1,Angle,Top,729,21469,42,2,-5,400,42.5,5.1,4,good,,
1,Angle,Top,730,21470,42,2,5,400,42.5,5.1,4,good,,
1,Angle,Top,731,21471,42,2,10,400,42.5,5.1,4,good,,
1,Angle,Top,732,21472,42,2,15,400,42.5,5.1,4,good,,
,,,,,,,,,,,,,,
2,Pedestal,Top,747,0,37,2,-5,400,42.3,5,3.4,good,,
2,Angle,Top,748,21480,37,2,-5,400,42.3,5,3.4,good,,
2,Angle,Top,749,21481,37,2,5,400,42.3,5,3.4,good,,
2,Angle,Top,750,21482,37,2,10,400,42.3,5,3.4,good,,
2,Angle,Top,752,21483,37,2,15,400,42.3,5,3.4,good,,
