BOARD FIM1 -- 0% of max nominal fluence - FanIn design,,,,,,Hybrid,TTV2-08,Sensor,6 mini 7,,,,,,,
BOARD FIM1,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,,
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),,,
1,Bias,Top,687,21443,43,3,0,50,5.5,5,3,good,,Mamba GUI has DUT sector =2,,WE ARE SORRY. All of the entries until  sector 2 angle scan were both in folder N_6_mini2 and also had sensor id of N_6_mini2 instead of N_6_mini7
1,Pedestal,Top,688,0,43,3,0,50,5.5,5,3,good,,Mamba GUI has DUT sector =2,,
1,Bias,Top,685,21442,43,3,0,100,7.9,5,3,good,,Mamba GUI has DUT sector =2,,
1,Pedestal,Top,686,0,43,3,0,100,7.9,5,3,good,,Mamba GUI has DUT sector =2,,
1,Bias,Top,682,21440,43,3,0,150,9.5,5,3.4,bad,,aborted while beam down for RICH access; Mamba GUI has DUT sector =2,,
1,Bias,Top,683,21441,43,3,0,150,9.5,5,3,good,,Mamba GUI has DUT sector =2,,
1,Pedestal,Top,684,0,43,3,0,150,9.5,5,3,good,,Mamba GUI has DUT sector =2,,
1,Bias,Top,680,21439,43,3,0,200,10.3,5,3.4,good,,Mamba GUI has RH = 4 and DUT sector = 2,,
1,Pedestal,Top,681,0,43,3,0,200,10.3,5,3.4,good,,Mamba GUI has RH = 4 and DUT sector = 2,,
1,Bias,Top,678,21438,43,3,0,300,10.7,5,3.4,good,,Mamba GUI has RH = 4 and DUT sector = 2,,
1,Pedestal,Top,679,0,43,3,0,300,10.7,5,3.4,good,,Mamba GUI has RH = 4 and DUT sector = 2,,
1,Bias,Top,676,21437,43,3,0,400,11,5,4,good,,Mamba GUI has DUT sector =2,,
1,Pedestal,Top,677,0,43,3,0,400,11,5,4,good,,Mamba GUI has DUT sector =2,,
1,Bias,Top,674,21436,43,3,0,500,11.3,5,4,good,,Mamba GUI has DUT sector =2,,
1,Pedestal,Top,675,0,43,3,0,500,11.3,5,4,good,,Mamba GUI has DUT sector =2,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,Bias,Top,706,21454,37,3,0,50,5.6,5.6,3,good,,,,
2,Pedestal,Top,707,0,37,3,0,50,5.6,5.6,3,good,,,,
2,Bias,Top,704,21453,37,3,0,100,8.1,5.6,3,good,,,,
2,Pedestal,Top,705,0,37,3,0,100,8.1,5.6,3,good,,,,
2,Bias,Top,702,21452,37,3,0,150,9.9,5.6,3,good,,,,
2,Pedestal,Top,703,0,37,3,0,150,9.9,5.6,3,good,,,,
2,Bias,Top,700,21451,37,3,0,200,10.6,5.6,3,good,,,,
2,Pedestal,Top,701,0,37,3,0,200,10.6,5.6,3,good,,,,
2,Bias,Top,698,21450,37,3,0,300,11.1,5.6,3,good,,,,
2,Pedestal,Top,699,0,37,3,0,300,11.1,5.6,3,good,,,,
2,Bias,Top,696,21449,37,3,0,400,11.4,5.6,3,good,,,,
2,Pedestal,Top,697,0,37,3,0,400,11.4,5.6,3,good,,,,
2,Bias,Top,694,21448,37,3,0,500,11.7,5.6,3,good,,,,
2,Pedestal,Top,695,0,37,3,0,500,11.7,5.6,3,good,,,,
,,,,,,,,,,,,,,,,
1,Pedestal,Top,689,0,43,3,-5,400,11.1,5.5,3,good,,labeled 0 stage rot in Mamba GUI; Mamba GUI has DUT sector =2,,
1,Angle,Top,690,21444,43,3,-5,400,11.1,5.5,3,good,,Mamba GUI has DUT sector =2,,
1,Angle,Top,691,21445,43,3,5,400,11.4,5.5,3,good,,Mamba GUI has corrent = 11.1 and DUT sector =2,,
1,Angle,Top,692,21446,43,3,10,400,11.4,5.5,3,good,,Mamba GUI has DUT sector =2,,
1,Angle,Top,693,21447,43,3,15,400,11.4,5.5,3,good,,Mamba GUI has DUT sector =2,,
,,,,,,,,,,,,,,,,
2,Pedestal,Top,708,0,37,3,-5,400,11.6,5.7,3,good,wrong kepler number entered ,This is in the wrong folder (N_6_mini2) and has wrong sensor id,,
2,Angle,Top,709,21455,37,3,-5,400,11.6,5.7,3,good,wrong kepler number entered ,"This is in the right folder (N_6_mini2), but has wrong sensor id",,
2,Angle,Top,710,21456,37,3,5,400,11.6,5.7,3,bad,wrong kepler number entered ,"This is in the right folder (N_6_mini2), but has wrong sensor id",,
2,Angle,Top,711,21457,37,3,5,400,11.6,5.7,3,good,wrong kepler number entered ,,,
2,Angle,Top,712,21458,37,3,10,400,11.6,5.7,3,good,wrong kepler number entered ,recorded wrong angle measurement 5 instead of 10,,
2,Angle,Top,713,21459,37,3,15,400,11.6,5.7,3,good,,,,
