BOARD FUP2,,Hybrid:,TTV2-02,Sensor:,S10938-5997-8,,,,,,,,,
,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,89,21081,72,1,0,50,175,13.3,3.5,good,,
1,Pedestal,Top,90,0,72,1,0,50,175,13.3,3.5,good,,
1,Bias,Top,91,21082,72,1,0,100,215,13.3,3.5,good,,
1,Pedestal,Top,92,0,72,1,0,100,215,13.3,3.5,good,,
1,Bias,Top,93,21083,72,1,0,150,230,13.3,3.5,good,,
1,Pedestal,Top,94,0,72,1,0,150,230,13.3,3.5,good,,
1,Bias,Top,95,21084,72,1,0,200,240,13.3,3,good,,
1,Pedestal,Top,96,0,72,1,0,200,240,13.3,3,good,,
1,Bias,Top,97,21085,72,1,0,300,250,13.3,3,good,,
1,Pedestal,Top,98,0,72,1,0,300,250,13.3,3,good,,
1,Bias,Top,99,21086,72,1,0,400,260,13.3,3,good,,
1,Pedestal,Top,100,0,72,1,0,400,260,13.3,3,good,,
1,Bias,Top,101,21087,72,1,0,500,273,13.3,3,good,,
1,Pedestal,Top,102,0,72,1,0,500,273,13.3,3,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,118,21096,66,1,0,50,182,13.5,3,good,,
2,Pedestal,Top,119,0,66,1,0,50,182,13.5,3,good,,
2,Bias,Top,120,21097,66,1,0,100,220,13.5,3,good,,
2,Pedestal,Top,121,0,66,1,0,100,220,13.5,3,good,,
2,Bias,Top,122,21098,66,1,0,150,237,13.5,3,good,,
2,Pedestal,Top,123,0,66,1,0,150,237,13.5,3,good,,
2,Bias,Top,124,21099,66,1,0,200,246,13.5,3,good,,
2,Pedestal,Top,125,0,66,1,0,200,246,13.5,3,good,,
2,Bias,Top,126,21100,66,1,0,300,256,13.5,3,good,,
2,Pedestal,Top,127,0,66,1,0,300,256,13.5,3,good,,
2,Bias,Top,128,21101,66,1,0,400,267,13.5,3,good,,
2,Pedestal,Top,129,0,66,1,0,400,267,13.5,3,good,,
2,Bias,Top,130,21102,66,1,0,500,279,13.5,3,good,,
2,Pedestal,Top,131,0,66,1,0,500,279,13.5,3,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Bias,Top,103,21088,60,1,0,50,179,13.5,3,good,,
3,Pedestal,Top,104,0,60,1,0,50,179,13.5,3,good,,
3,Bias,Top,106,21090,60,1,0,100,210,13.5,3,good,,
3,Pedestal,Top,107,0,60,1,0,100,210,13.5,3,good,,
3,Bias,Top,108,21091,60,1,0,150,235,13.5,3,good,,
3,Pedestal,Top,109,0,60,1,0,150,235,13.5,3,good,,
3,Bias,Top,110,21092,60,1,0,200,243,13.5,3,good,,"Forgot to update HV value in the control panel Run 110-117, they are correct as in this table"
3,Pedestal,Top,111,0,60,1,0,200,243,13.5,3,good,,
3,Bias,Top,112,21093,60,1,0,300,254,13.5,3,good,,
3,Pedestal,Top,113,0,60,1,0,300,254,13.5,3,good,,
3,Bias,Top,114,21094,60,1,0,400,265,13.5,3,good,,
3,Pedestal,Top,115,0,60,1,0,400,265,13.5,3,good,,
3,Bias,Top,116,21095,60,1,0,500,277,13.5,3,good,,
3,Pedestal,Top,117,0,60,1,0,500,277,13.5,3,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Bias,Top,132,21103,46,1,0,50,183,13.5,3,good,,
4,Pedestal,Top,133,0,46,1,0,50,183,13.5,3,good,,
4,Bias,Top,134,21104,46,1,0,100,222,13.5,3,good,,
4,Pedestal,Top,135,0,46,1,0,100,222,13.5,3,good,,
4,Bias,Top,136,21105,46,1,0,150,240,13.5,3,good,,
4,Pedestal,Top,137,0,46,1,0,150,240,13.5,3,good,,
4,Bias,Top,138,21106,46,1,0,200,248,13.5,3,good,,
4,Pedestal,Top,139,0,46,1,0,200,248,13.5,3,good,,
4,Bias,Top,140,21107,46,1,0,300,259,13.5,3,good,,
4,Pedestal,Top,141,0,46,1,0,300,259,13.5,3,good,,
4,Bias,Top,142,21108,46,1,0,400,270,13.5,3,good,,
4,Pedestal,Top,143,0,46,1,0,400,270,13.5,3,good,,
4,Bias,Top,144,21109,46,1,0,500,280,13.5,3,good,,
4,Pedestal,Top,145,0,46,1,0,500,280,13.5,3,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Bias,Top,146,21110,38,1,0,50,179,13.5,3,good,,
5,Pedestal,Top,147,0,38,1,0,50,179,13.5,3,good,,
5,Bias,Top,148,21111,38,1,0,100,220,13.5,3,good,,
5,Pedestal,Top,149,0,38,1,0,100,220,13.5,3,good,,
5,Bias,Top,151,21112,38,1,0,150,237,13.5,3,good,,
5,Pedestal,Top,152,0,38,1,0,150,237,13.5,3,good,,
5,Bias,Top,153,21113,38,1,0,200,245,13.5,3,good,,
5,Pedestal,Top,154,0,38,1,0,200,245,13.5,3,good,,
5,Bias,Top,155,21114,38,1,0,300,254,13.5,3,good,,
5,Pedestal,Top,156,0,38,1,0,300,254,13.5,3,good,,
