BOARD FUP1,,Hybrid:,TTV2-01,Sensor,S10938-5997-9,,,,,,,,,
,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,207,21150,73,1,0,50,145,13,3,Good,,
1,Pedestal,Top,208,-,73,1,0,50,145,13,3,Good,,
1,Bias,Top,209,21151,73,1,0,100,180,13,3,Good,,
1,Pedestal,Top,210,-,73,1,0,100,180,13,3,Good,,
1,Bias,Top,211,21152,73,1,0,150,194,13,3,Bad,,wrong run type set
1,Bias,Top,212,21153,73,1,0,150,194,13,3,Good,,
1,Pedestal,Top,213,-,73,1,0,150,194,13,3,Good,,
1,Bias,Top,214,21154,73,1,0,200,202,13,3,Good,,
1,Pedestal,Top,215,-,73,1,0,200,202,13,3,Good,,
1,Bias,Top,216,21155,73,1,0,300,211,13,3,Good,,
1,Pedestal,Top,217,-,73,1,0,300,211,13,3,Good,,
1,Bias,Top,218,21156,73,1,0,400,220,13,3,Good,,
1,Pedestal,Top,219,-,73,1,0,400,220,13,3,Good,,
1,Bias,Top,220,21157,73,1,0,500,230,14,3,Good,,
1,Pedestal,Top,221,-,73,1,0,500,230,14,3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,222,21158,67,1,0,50,150,14,3,Good,,
2,Pedestal,Top,223,-,67,1,0,50,150,14,3,Good,,
2,Bias,Top,224,21160,67,1,0,100,186,14,3,Good,,"Kepler numbers double checked and correct (stop run pressed during monitoring phase, so incremented by 1, thus no Kepler run 21159)"
2,Pedestal,Top,225,-,67,1,0,100,186,14,3,Good,,
2,Bias,Top,226,21161,67,1,0,150,200,14,3,Good,,
2,Pedestal,Top,227,-,67,1,0,150,200,14,3,Good,,
2,Bias,Top,228,21162,67,1,0,200,208,14,3,Good,,
2,Pedestal,Top,229,-,67,1,0,200,208,14,3,Good,,
2,Bias,Top,230,21163,67,1,0,300,216,14,3,Good,,
2,Pedestal,Top,231,-,67,1,0,300,216,14,3,Good,,
2,Bias,Top,232,21164,67,1,0,400,225,14,3,Good,,
2,Pedestal,Top,233,-,67,1,0,400,225,14,3,Good,,
2,Bias,Top,234,21165,67,1,0,500,233,14,3,Good,,
2,Pedestal,Top,235,-,67,1,0,500,233,14,3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Bias,Top,236,21166,61,1,0,50,153,14,3,Good,,
3,Pedestal,Top,237,-,61,1,0,50,153,14,3,Good,,
3,Bias,Top,238,21167,61,1,0,100,188,14,3,Good,,
3,Pedestal,Top,239,-,61,1,0,100,188,14,3,Good,,
3,Bias,Top,240,21168,61,1,0,150,202,14,3,Good,,
3,Pedestal,Top,241,-,61,1,0,150,202,14,3,Good,,
3,Bias,Top,242,21169,61,1,0,200,209,14,3,Good,,
3,Pedestal,Top,243,-,61,1,0,200,209,14,3,Good,,
3,Bias,Top,244,21170,61,1,0,300,219,14,3,Good,,
3,Pedestal,Top,245,-,61,1,0,300,219,14,3,Good,,
3,Bias,Top,246,21171,61,1,0,400,226,14,3,Good,,
3,Pedestal,Top,247,-,61,1,0,400,226,14,3,Good,,
3,Bias,Top,248,21172,61,1,0,500,234,14,3,Good,,
3,Pedestal,Top,249,-,61,1,0,500,234,14,3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Bias,Top,250,21173,50,1,0,50,153,14,3,Good,,
4,Pedestal,Top,251,-,50,1,0,50,153,14,3,Good,,
4,Bias,Top,252,21174,50,1,0,100,189,14,3,Good,,
4,Pedestal,Top,253,-,50,1,0,100,189,14,3,Good,,
4,Bias,Top,254,21175,50,1,0,150,202,14,3,Good,,
4,Pedestal,Top,255,-,50,1,0,150,202,14,3,Good,,
4,Bias,Top,256,21176,50,1,0,200,209,14,3,Good,,
4,Pedestal,Top,257,-,50,1,0,200,209,14,3,Good,,
4,Bias,Top,258,21177,50,1,0,300,217,14,3,Good,,
4,Pedestal,Top,259,-,50,1,0,300,217,14,3,Good,,
4,Bias,Top,260,21178,50,1,0,400,226,14,3,Good,,
4,Pedestal,Top,261,-,50,1,0,400,226,14,3,Good,,
4,Bias,Top,262,21179,50,1,0,500,235,14,3,Good,,
4,Pedestal,Top,263,-,50,1,0,500,235,14,3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Bias,Top,264,21180,40,1,0,50,155,14,3,Good,,
5,Pedestal,Top,265,-,40,1,0,50,155,14,3,Good,,
5,Bias,Top,266,21181,40,1,0,100,189,14,3,Good,,
5,Pedestal,Top,267,-,40,1,0,100,189,14,3,Good,,
5,Bias,Top,268,21182,40,1,0,150,203,14,3,Good,,
5,Pedestal,Top,269,-,40,1,0,150,203,14,3,Good,,
5,Bias,Top,270,21183,40,1,0,200,210,14,3,Good,,
5,Pedestal,Top,271,-,40,1,0,200,210,14,3,Good,,
5,Bias,Top,272,21184,40,1,0,300,219,14,3,Good,,
5,Pedestal,Top,273,-,40,1,0,300,219,14,3,Good,,
5,Bias,Top,274,21185,40,1,0,400,227,14,3,Good,,
