BOARD F1,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Pedestal,Top side,1003,-,-,-,-,50,88,0,1,Good,,
1,Bias Scan,Top side,1004,17027,37,"7,5",0,50,88,0,1,Good,,
1,Pedestal,Top side,1005,-,37,"7,5",-,100,116,0,1,Good,,
1,Bias Scan,Top side,1006,17028,37,"7,5",0,100,116,0,1,Good,,
1,Pedestal,Top side,1007,-,37,"7,5",-,150,127,0,1,Good,,
1,Bias Scan,Top side,1008,17029,37,"7,5",0,150,127,0,1,Good,,
1,Pedestal,Top side,1009,-,37,"7,5",-,200,131,0,1,Good,,
1,Bias Scan,Top side,1010,17030,37,"7,5",0,200,131,0,1,Good,,
1,Pedestal,Top side,1011,-,37,"7,5",-,250,135,0,1,Good,,
1,Bias Scan,Top side,1012,17031,37,"7,5",0,250,135,0,1,Good,,
1,Pedestal,Top side,1013,-,37,"7,5",-,300,138,0,1,Good,,
1,Bias Scan,Top side,1014,17032,37,"7,5",0,300,138,0,1,Good,,
1,Pedestal,Top side,1015,-,37,"7,5",-,350,?,?,?,?,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top side,1051,-,37,"7,5",-,50,77,"-0,3","1,6",Good,,
1,Bias Scan,Top side,1052,17057,37,"7,5",0,50,77,"-0,3","1,6",Good,,
1,Pedestal,Top side,1053,-,37,"7,5",-,100,101,"-0,5","1,8",Good,,
1,Bias Scan,Top side,1054,17058,37,"7,5",0,100,101,"-0,5","1,8",Good,,
1,Pedestal,Top side,1055,-,37,"7,5",-,150,111,"-0,5","1,8",Good,,
1,Bias Scan,Top side,1056,17059,37,"7,5",0,150,111,"-0,5","1,8",Good,,
1,Pedestal,Top side,1057,-,37,"7,5",-,170,113,"-0,6","1,7",Good,,
1,Bias Scan,Top side,1058,17060,37,"7,5",0,170,113,"-0,6","1,7",Good,,
1,Pedestal,Top side,1059,-,37,"7,5",-,190,114,"-0,6","1,4",Good,,
1,Bias Scan,Top side,1060,17061,37,"7,5",0,190,114,"-0,6","1,4",Good,,
1,Pedestal,Top side,1061,-,37,"7,5",-,210,115,"-0,6","1,7",Good,,
1,Bias Scan,Top side,1062,17062,37,"7,5",0,210,115,"-0,6","1,7",Good,,
1,Pedestal,Top side,1063,,37,"7,5",-,210,115,"-0,6","1,7",Good,,
1,Eff/Res,Top side,1064,17063,37,"7,5",0,210,115,"-0,6","1,7",Good,,
,,,,,,,,,,,,,,
2,Pedestal,Top side,1065,-,45,"7,5",-,50,73,"-0,7","1,7",Good,,
2,Bias Scan,Top side,1066,17064,45,"7,5",0,50,73,"-0,7","1,7",Good,,
2,Pedestal,Top side,1067,-,45,"7,5",-,100,97,"-0,8","1,7",Good,,
2,Bias Scan,Top side,1068,17065,45,"7,5",0,100,97,"-0,8","1,7",Good,,
2,Pedestal,Top side,1069,-,45,"7,5",-,150,108,"-0,8","1,5",Good,,
2,Pedestal,Top side,1070,-,45,"7,5",-,150,108,"-0,8","1,5",Good,,
2,Bias Scan,Top side,1071,17066,45,"7,5",0,150,108,"-0,8","1,5",Good,,
2,Pedestal,Top side,1072,-,45,"7,5",-,170,110,"-0,8","1,7",Good,,
2,Bias Scan,Top side,1073,17067,45,"7,5",0,170,110,"-0,8","1,7",Good,,
2,Pedestal,Top side,1074,-,45,"7,5",-,190,112,"-0,8","1,6",Good,,
2,Bias Scan,Top side,1075,17068,45,"7,5",0,190,112,"-0,8","1,6",Good,,
2,Pedestal,Top side,1076,-,45,"7,5",-,210,113,"-0,8","1,6",Good,,
2,Bias Scan,Top side,1077,17069,45,"7,5",0,210,113,"-0,8","1,6",Good,,
2,Pedestal,Top side,1078,-,45,"7,5",-,210,113,"-0,8","1,6",Good,,
2,Eff/Res,Top side,1079,17070,45,"7,5",0,210,113,"-0,8","1,6",Good,,
,,,,,,,0,,,,,,,
3,Pedestal,Top side,1080,,52,"7,5",,50,71,"-0,9","1,6",Good,,
3,Bias Scan,Top side,1081,17071,52,"7,5",0,50,71,"-0,9","1,4",Good,,
3,Pedestal,Top side,1082,,52,"7,5",,100,96,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1083,17072,52,"7,5",0,100,96,"-0,9","1,4",Good,,
3,Pedestal,Top side,1084,,52,"7,5",,150,106,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1085,17073,52,"7,5",0,150,106,"-0,9","1,5",Good,,
3,Pedestal,Top side,1086,,52,"7,5",,170,108,"-0,9","1,5",Good,,
3,Bias Scan,Top side,1087,17074,52,"7,5",0,170,108,"-0,9","1,5",Good,,
3,Pedestal,Top side,1088,,52,"7,5",,190,110,"-0,9","1,4",Good,,
3,Bias Scan,Top side,1089,17075,52,"7,5",0,190,110,"-0,9","1,5",Good,,
3,Pedestal,Top side,1090,,52,"7,5",,210,111,"-0,9","1,4",Good,,
3,Bias Scan,Top side,1091,17076,52,"7,5",0,210,111,"-0,9","1,4",Good,,
3,Pedestal,Top side,1092,,52,"7,5",,210,111,"-0,9","1,5",Good,,
3,Eff/Res,Top side,1093,17077,52,"7,5",0,210,111,"-0,9","1,5",Good,,
,,,,,,,,,,,,,,
4,Pedestal,Top side,1094,,37,"17,5",,50,71,"-0,9","1,4",Good,,
4,Bias Scan,Top side,1095,17078,37,"17,5",0,50,71,"-0,9","1,5",Good,,
4,Pedestal,Top side,1096,,37,"17,5",,100,96,"-0,8","1,6",Good,,
4,Bias Scan,Top side,1097,17079,37,"17,5",0,100,96,"-0,9","1,7",Good,,
4,Pedestal,Top side,1098,,37,"17,5",,150,107,"-0,9","1,7",Good,,
4,Bias Scan,Top side,1099,17080,37,"17,5",0,150,107,"-0,9","1,7",Good,,
4,Pedestal,Top side,1100,,37,"17,5",,170,110,"-0,9","1,5",Good,,
4,Bias Scan,Top side,1101,17081,37,"17,5",0,170,110,"-0,8","1,5",Good,,
4,Pedestal,Top side,1102,,37,"17,5",,190,112,"-0,8","1,5",Good,,
4,Bias Scan,Top side,1103,17082,37,"17,5",0,190,112,"-0,8","1,5",Good,,
4,Pedestal,Top side,1104,,37,"17,5",,210,113,"-0,8","1,7",Good,,
4,Bias Scan,Top side,1105,17083,37,"17,5",0,210,113,"-0,8","1,7",Good,,
4,Pedestal,Top side,1106,,37,"17,5",,210,113,"-0,8","1,7",Good,,
4,Eff/Res,Top side,1107,17084,37,"17,5",0,210,113,"-0,8","1,7",Good,,
,,,,,,,,,,,,,,
5,Pedestal,Top side,1108,,45,"17,5",,50,72,"-0,8","1,5",Good,,
5,Bias Scan,Top side,1109,17085,45,"17,5",0,50,72,"-0,8","1,5",Good,,
5,Pedestal,Top side,1110,,45,"17,5",,100,97,"-0,8","1,7",Good,,
5,Bias Scan,Top side,1111,17086,45,"17,5",0,100,97,"-0,8","1,7",Good,,
5,Pedestal,Top side,1112,,45,"17,5",,150,108,"-0,8","1,6",Good,,
5,Bias Scan,Top side,1113,17087,45,"17,5",0,150,108,"-0,8","1,6",Good,,
5,Pedestal,Top side,1114,,45,"17,5",,170,110,"-0,8","1,7",Good,,
5,Bias Scan,Top side,1115,17088,45,"17,5",0,170,110,"-0,8","1,7",Good,,
5,Pedestal,Top side,1116,,45,"17,5",,190,111,"-0,9","1,5",Good,,
5,Bias Scan,Top side,1117,17089,45,"17,5",0,190,111,"-0,9","1,5",Good,,
5,Pedestal,Top side,1118,,45,"17,5",,210,112,"-0,9","1,7",Good,,
5,Bias Scan,Top side,1119,17090,45,"17,5",0,210,112,"-0,9","1,7",Good,,
5,Pedestal,Top side,1120,,45,"17,5",,210,112,"-0,9","1,7",Good,,
