,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),,
,,,,,,,,,,,,,,,
1,Pedestal,Top Side,1025,-,-,-,-,-50,,0,,Good,,Sectors defined in picture -->,
1,Bias Scan,Top Side,1026,17034,40,"7,5",0,-50,,0,,Good,,https://twiki.cern.ch/twiki/pub/LHCb/SiliconStripTrackerTestbeamPage/TBMeasurementsLateMay2016.pptx,
1,Pedestal,Top Side,1027,-,-,-,-,-100,83,0,,Good,,,
1,Bias Scan,Top Side,1028,17035,40,"7,5",0,-100,83,0,,Good,,,
1,Pedestal,Top Side,1029,-,-,-,-,-150,96,0,,Good,,,
1,Bias Scan,Top Side,1030,17036,40,"7,5",0,-150,96,0,,Good,,switch to 500K per bias pont startng here,
1,Pedestal,Top Side,1031,-,-,-,-,-200,99,0,,Good,,,
1,Bias Scan,Top Side,1032,17037,40,"7,5",0,-200,99,0,,Good,,,
1,Pedestal,Top Side,1033,,-,-,-,-250,101,0,,Good,,,
1,Bias Scan,Top Side,1034,17038,40,"7,5",0,-250,101,0,,Good,,,
1,Pedestal,Top Side,1035,-,-,-,-,-300,103,0,,Good,,,
1,Bias Scan,Top Side,1036,17039,40,"7,5",0,-300,103,0,,Good,,,
1,Pedestal,Top Side,1037,-,-,-,-,-350,105,0,,Good,,,
1,Bias Scan,Top Side,1038,17040,40,"7,5",0,-350,105,0,,Good,,,
1,Calibration,Top Side,1039,-,-,-,-,-300,105,0,,Good,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3,Pedestal,Top Side,1040,-,-,-,-,-50,56,0,,Good,Bad,Wrong Pipeline,
3,Bias Scan,Top Side,1041,17041,49,"7,5",0,-50,56,0,,Good,Bad,Wrong Pipeline. 50k events only,
3,Bias Scan,Top Side,1042,17042,49,"7,5",0,-50,56,0,,Good,Bad,Wrong Pipeline,
3,Pedestal,Top Side,1043,-,-,-,-,-100,80,0,,Good,Bad,Wrong Pipeline,
3,Bias Scan,Top Side,1044,17043,49,"7,5",0,-100,80,0,,Good,Bad,Wrong Pipeline,
3,Pedestal,Top Side,1045,-,-,-,-,-150,92,0,,Good,Bad,Wrong Pipeline,
3,Bias Scan,Top Side,1046,17044,49,"7,5",0,-150,92,0,,Good,Bad,Wrong Pipeline,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sector,Run Type,Bias Scheme,DUT Run,Kepler Run,x pos (mm),y pos(mm),Rot. ,Bias (V),Current (uA),Temp (deg C),RH%,Online Good/Bad,Offline Good/Bad,Note,
,,,,,,,,,,,,,,,
1,Pedestal,Top Side,1216,-,37,"7,5",0,-250,100,"0,1","1,5",Good,,Sectors defined in picture -->,
1,Eff/Res,Top Side,1217,17169,37,"7,5",0,-250,100,"0,1","1,5",Good,,https://twiki.cern.ch/twiki/pub/LHCb/SiliconStripTrackerTestbeamPage/OneDayRunPlanForTypeHalfASensors.pptx,
2,Pedestal,Top Side,1218,-,45,"7,5",0,-250,100,"0,1","1,5",Good,,,
2,Eff/Res,Top Side,1219,17170,45,"7,5",0,-250,100,"0,1","1,5",Good,,,
3,Pedestal,Top Side,1220,-,52,"7,5",0,-250,100,"0,1","1,5",Good,,,
3,Eff/Res,Top Side,1221,17171,52,"7,5",0,-250,100,"0,1","1,5",Good,,,
4,Pedestal,Top Side,1222,-,60,"7,5",0,-250,100,"0,1","1,4",Good,,,
4,Eff/Res,Top Side,1223,17172,60,"7,5",0,-250,100,"0,1","1,4",Good,,,
5,Pedestal,Top Side,1224,-,73,"7,5",0,-250,100,0,"1,4",Good,,,
5,Pedestal,Top Side,1225,-,73,"7,5",0,-250,100,0,"1,4",Good,,,
5,Eff/Res,Top Side,1226,17173,73,"7,5",0,-250,100,0,"1,4",Good,,,
,,,,,,,,,,,,,,,
1,Pedestal,Top Side,1227,-,37,"7,5",0,-50,56,0,"1,4",Good,,,
1,Bias Scan,Top Side,1228,17174,37,"7,5",0,-50,56,0,"1,4",Good,,,
1,Pedestal,Top Side,1229,-,37,"7,5",0,-100,81,0,"1,4",Good,,,
1,Bias Scan,Top Side,1230,17175,37,"7,5",0,-100,81,0,"1,4",Good,,,
1,Pedestal,Top Side,1231,-,37,"7,5",0,-150,94,0,"1,5",Good,,,
1,Bias Scan,Top Side,1232,17176,37,"7,5",0,-150,94,0,"1,5",Good,,,
1,Pedestal,Top Side,1233,-,37,"7,5",0,-200,97,0,"1,5",Good,,,
1,Bias Scan,Top Side,1234,17177,37,"7,5",0,-200,97,0,"1,5",Good,,,
1,Pedestal,Top Side,1235,-,37,"7,5",0,-250,100,0,"1,5",Good,,,
1,Bias Scan,Top Side,1236,17178,37,"7,5",0,-250,100,0,"1,5",Good,,,
,,,,,,,,,,,,,,,
2,Pedestal,Top Side,1237,-,45,"7,5",0,-50,57,0,"1,5",Good,,,
2,Bias Scan,Top Side,1238,17179,45,"7,5",0,-50,57,0,"1,5",Good,,,
2,Pedestal,Top Side,1239,-,45,"7,5",0,-100,81,0,"1,5",Good,,,
2,Bias Scan,Top Side,1240,17180,45,"7,5",0,-100,81,0,"1,5",Good,,,
2,Pedestal,Top Side,1241,-,45,"7,5",0,-150,95,0,"1,5",Good,,,
2,Bias Scan,Top Side,1242,17181,45,"7,5",0,-150,95,0,"1,5",Good,,,
2,Pedestal,Top Side,1243,-,45,"7,5",0,-200,97,0,"1,5",Good,,,
2,Bias Scan,Top Side,1244,17182,45,"7,5",0,-200,97,0,"1,5",Good,,,
2,Pedestal,Top Side,1245,-,45,"7,5",0,-250,99,0,"1,5",Good,,,
2,Bias Scan,Top Side,1246,17183,45,"7,5",0,-250,99,0,"1,5",Good,,,
,,,,,,,,,,,,,,,
3,Pedestal,Top Side,1247,-,52,"7,5",0,-50,57,0,"1,5",Good,,,
3,Bias Scan,Top Side,1248,17184,52,"7,5",0,-50,57,0,"1,5",Good,,,
3,Pedestal,Top Side,1249,-,50,"7,5",0,-50,57,0,"1,5",Good,,,
,,,,,,,,,,,,,,,
3,Pedestal,Top Side,1250,-,50,"7,5",0,-50,57,0,"1,5",Good,,X position moved from 52 to 50,Run acquired together with Kepler 17185
3,Bias Scan,Top Side,1251,17186,50,"7,5",0,-50,57,0,"1,5",Good,,,
3,Pedestal,Top Side,1252,-,50,"7,5",0,-100,82,0,"1,5",Good,,,
3,Bias Scan,Top Side,1253,17187,50,"7,5",0,-100,82,0,"1,5",Good,,,
3,Pedestal,Top Side,1254,-,50,"7,5",0,-150,94,0,"1,5",Good,,,
3,Bias Scan,Top Side,1255,17188,50,"7,5",0,-150,94,0,"1,5",Good,,,
3,Pedestal,Top Side,1256,-,50,"7,5",0,-200,97,0,"1,5",Good,,,
3,Bias Scan,Top Side,1257,17189,50,"7,5",0,-200,97,0,"1,5",Good,,,
3,Pedestal,Top Side,1258,-,50,"7,5",0,-250,99,0,"1,5",Good,,,
3,Bias Scan,Top Side,1259,17190,50,"7,5",0,-250,99,0,"1,5",Good,,,
,,,,,,,,,,,,,,,
4,Pedestal,Top Side,1260,-,60,"7,5",0,-50,56,"-0,1","1,5",Good,,,
4,Bias Scan,Top Side,1261,17191,60,"7,5",0,-50,56,"-0,1","1,5",Good,,,
4,Pedestal,Top Side,1262,-,60,"7,5",0,-100,80,"-0,1","1,3",Good,,,
4,Bias Scan,Top Side,1263,17192,60,"7,5",0,-100,80,"-0,1","1,3",Good,,,
4,Pedestal,Top Side,1264,-,60,"7,5",0,-150,94,"-0,1","1,4",Good,,,
4,Bias Scan,Top Side,1265,17193,60,"7,5",0,-150,94,"-0,1","1,4",Good,,,
4,Pedestal,Top Side,1266,-,60,"7,5",0,-200,97,"-0,1","1,5",Good,,,
4,Bias Scan,Top Side,1267,17194,60,"7,5",0,-200,97,"-0,1","1,5",Good,,,
