BOARD M1,FANUP,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),,
Central,Bias Scan,Top,117,15059,40,10,0,150,-,11,-,bad,bad,No beam,
Central,Bias Scan,Top,118,15060,40,10,0,150,-,9,-,bad,bad,Could't find the beam,
Central,Bias Scan,Top,119,15061,40,10,0,150,-,9,-,bad,bad,Could't find the beam,
Central,Bias Scan,Top,120,15062,70,10,0,150,-,9,-,bad,bad,We found the beam. ,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Bias Scan,Top,121,15063,40,10,0,25,-,9,-,good,Good DUT,,
Central,Pedestal,Top,122,-,40,10,0,25,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,123,15064,40,10,0,50,-,9,-,good,Good DUT,,
Central,Pedestal,Top,124,-,40,10,0,50,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,125,15065,40,10,0,75,-,9,-,good,Good DUT,,
Central,Pedestal,Top,126,-,40,10,0,75,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,127,15066,40,10,0,100,-,9,-,good,Good DUT,,
Central,Pedestal,Top,128,-,40,10,0,100,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,129,15067,40,10,0,125,-,9,-,bad,bad,wrong event number,
Central,Bias Scan,Top,130,15068,40,10,0,125,-,9,-,good,Good DUT,,
Central,Pedestal,Top,131,-,40,10,0,125,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,132,15069,40,10,0,150,-,9,-,good,Good DUT,,
Central,Pedestal,Top,133,-,40,10,0,150,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,134,15070,40,10,0,200,-,9,-,good,Good DUT,,
Central,Pedestal,Top,135,-,40,10,0,200,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,136,15071,40,10,0,250,-,9,-,good,Good DUT,,
Central,Pedestal,Top,137,-,40,10,0,250,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,138,15072,40,10,0,300,-,9,-,good,Good DUT,,
Central,Pedestal,Top,139,-,40,10,0,300,-,9,-,good,Good DUT,,
Central,Calibration,Top,140,-,40,10,0,300,-,9,-,good,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Eff/Res,Top,141,15073,38,10,0,300,-,9,-,good,,Check that 38 and 42 are OK,
Central,Eff/Res,Top,142,15074,42,10,0,300,-,9,-,good,,Check the correct voltage to use during bias scan,
Central,Eff/Res,Top,143,15075,38,18,0,300,-,9,-,good,,,
Central,Eff/Res,Top,144,15076,42,18,0,300,-,9,-,good,,,
PA,Eff/Res,Top,145,15077,38,0,0,300,-,9,-,good,,Check that 38 and 42 are OK,
PA,Eff/Res,Top,146,15078,42,0,0,300,-,9,-,good,,Check the correct voltage to use during bias scan,
PA,Eff/Res,Top,147,15079,38,2,0,300,-,9,-,good,,Check that 38 and 42 are OK,
PA,Eff/Res,Top,148,15080,42,2,0,300,-,9,-,good,,Check the correct voltage to use during bias scan,
PA,Pedestal,Top,149,-,42,2,0,300,-,9,-,good,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Pedestal,Top,150,,40,10,0,400,-,9,-,good,Good DUT,,
Central,Bias Scan,Top,151,15081,40,10,0,400,-,9,-,good,Good DUT,,
Central,Pedestal,Top,152,-,40,10,0,430,-,9,-,bad,bad,too much events ,
Central,Pedestal,Top,153,-,40,10,0,430,-,9,-,good,Good DUT,We couldn't set highter voltage value. 430 is a maximum ,
Central,Bias Scan,Top,154,15082,40,10,0,430,-,9,-,good,Good DUT,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Angle scan,Top,155,15083,40,10,-10,300,-,,,good,,,
Central,Angle scan,Top,156,15084,40,10,-5,300,-,,,good,,,
Central,Angle scan,Top,157,15085,40,10,-2,300,-,,,good,,,
Central,Angle scan,Top,158,15086,40,10,0,300,-,,,good,,,
Central,Angle scan,Top,159,15087,40,10,2,300,-,,,good,,,
Central,Angle scan,Top,160,15088,40,10,5,300,-,,,good,,,
Central,Angle scan,Top,161,15089,40,10,10,300,-,,,good,,,
Central,Pedestal,Top,,,40,10,,300,-,,,,,Pedestal has not been taken,Use Run 149 as Pedestal
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Bias Scan,Back,197,15113,40,10,0,50,-,7,-,Good,Good,Detector removed from the DUT box for removing the bondings and put thermal grease,
Central,Pedestal,Back,198,-,40,10,0,50,-,7,-,Good,Good,,
Central,Bias Scan,Back,199,15114,40,10,0,100,-,7,-,Good,Good DUT,,
Central,Pedestal,Back,200,,40,10,0,100,-,,,Good,Good DUT,,
Central,Bias Scan,Back,201,15115,40,10,0,150,-,,,Bad,,Incorrect Bias Voltage,
Central,Bias Scan,Back,202,15116,40,10,0,150,,,,Good,Good DUT,,
Central,Pedestal,Back,203,,40,10,0,150,-,7,-,Good,Good DUT,,
Central,Bias Scan,Back,204,15117,40,10,0,200,-,,,Good,Good DUT,,
Central,Pedestal,Back,205,,40,10,0,200,-,,,Good,Good DUT,,
Central,Bias Scan,Back,206,15118,40,10,0,250,-,6.5,,Good,Good DUT,,
Central,Pedestal,Back,207,,40,10,0,250,-,6.5,,Good,Good DUT,,
Central,Bias Scan,Back,208,15119,40,10,0,300,-,6.5,,Bad,,Labview error for power supply control,
Central,Bias Scan,Back,209,15120,40,10,0,300,,6.5,,Good,Good DUT,,
Central,Pedestal,Back,210,,40,10,0,300,-,6.5,,Good,Good DUT,,
Central,Bias Scan,Back,211,15121,40,10,0,350,-,6.43,,Good,Good DUT,,
Central,Pedestal,Back,212,,40,10,0,350,-,6.43,,Good,Good DUT,,
Central,Bias Scan,Back,213,15122,40,10,0,400,-,6.43,,Good,Good DUT,,
Central,Pedestal,Back,214,,40,10,0,400,-,6.44,,Good,Good DUT,,
Central,Bias Scan,Back,215,15123,40,10,0,430,-,6.44,,Good,Good DUT,Jumper Problem: not possible go over 430V ( 450V planned ),
Central,Pedestal,Back,216,,40,10,0,430,-,6.47,,Good,Good DUT,Access to reboot power supply and check peltier (opened the box),
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Central,Eff/Res,Back,217,15124,38,10,0,300,-,8.5,,Good,,Check OFFLINE that the correct voltage to use during bias scan. Wrong comment in the Kepler file (not updated from previous run),
Central,Eff/Res,Back,218,15125,42,10,0,300,-,8.14,,Good,,Wrong comment in the Kepler file (not updated from previous run),
Central,Eff/Res,Back,219,15126,38,18,0,300,-,8.09,,Good,,,
