BOARD 14_HM1,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,Top,2169,19308,36,7,0,-50,0.3,-4.6,1.1,Good,,
1,Pedestal,Top,2170,-,36,7,0,-50,0.3,-4.6,1.1,Good,,
1,Bias Scan,Top,2171,19309,36,7,0,-100,0.4,-4.4,1.1,Good,,
1,Pedestal,Top,2172,-,36,7,0,-100,0.4,-4.4,1.1,Good,,
1,Calibration,Top,2173,-,36,7,0,-100,0.4,-4.4,1.1,Good,,
1,Bias Scan,Top,2174,19310,36,7,0,-200,0.6,-4.2,1.1,Good,,
1,Pedestal,Top,2175,-,36,7,0,-200,0.6,-4.2,1.1,Good,,
1,Calibration,Top,2176,-,36,7,0,-200,0.6,-4.2,1.1,Good,,
1,Bias Scan,Top,2177,19311,36,7,0,-300,0.7,-4,1.1,Good,,
1,Pedestal,Top,2178,-,36,7,0,-300,0.7,-4,1.1,Good,,
1,Calibration,Top,2179,-,36,7,0,-300,0.7,-4,1.1,Good,,
1,Bias Scan,Top,2180,19312,36,7,0,-400,0.7,-3.9,1.1,Good,,
1,Pedestal,Top,2181,-,36,7,0,-400,0.7,-3.9,1.1,Good,,
1,Calibration,Top,2182,-,36,7,0,-400,0.7,-3.9,1.1,Good,,
1,Bias Scan,Top,2183,19,36,7,0,-400,0.7,-3.9,1.1,,,
1,Pedestal,Top,2184,-,36,7,0,-400,0.7,-3.9,1.1,,,
1,Calibration,Top,2185,-,36,7,0,-400,0.7,-3.9,1.1,,,
,,,2183,19313,,,,,0.3,-3.8,1.1,Good,,
,,,2184,,,,,,0.3,-3.8,1.1,Good,,
,,,2185,,,,,,0.3,-3.8,1.1,Good,,
2,Bias Scan,Top,2186,19314,43,7,0,-50,0.5,-3.7,1.1,Good,,
2,Pedestal,Top,2187,-,43,7,0,-50,0.5,-3.7,1.1,Good,,
2,Calibration,Top,2188,-,43,7,0,-50,0.5,-3.7,1.1,Good,,
2,Bias Scan,Top,2189,19315,43,7,0,-100,0.7,-3.7,1.1,Good,,
2,Pedestal,Top,2190,-,43,7,0,-100,0.7,-3.7,1.1,Good,,
2,Calibration,Top,2191,-,43,7,0,-100,0.7,-3.7,1.1,Good,,
2,Bias Scan,Top,2192,19316,43,7,0,-200,0.7,-3.7,1.1,Good,,
2,Pedestal,Top,2193,-,43,7,0,-200,0.7,-3.7,1.1,Good,,
2,Calibration,Top,2194,-,43,7,0,-200,0.7,-3.7,1.1,Good,,
2,Bias Scan,Top,2195,19317,43,7,0,-300,0.7,-3.7,1.1,Good,,
2,Pedestal,Top,2196,-,43,7,0,-300,0.7,-3.7,1.1,Good,,
2,Calibration,Top,2197,-,43,7,0,-300,0.7,-3.7,1.1,Good,,
2,Bias Scan,Top,,,43,7,0,-400,,,,,,
2,Pedestal,Top,,-,43,7,0,-400,,,,,,
2,Calibration,Top,,-,43,7,0,-400,,,,,,
