BOARD 18_HM1,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,Top,2495,19441,64,7,0,-50,2.4,2.5,1.3,Good,,
1,Pedestal,Top,2496,-,64,7,0,-50,2.4,2.5,1.3,Good,,
1,Bias Scan,Top,2498,19442,64,7,0,-100,3.6,2.5,1.3,Good,,
1,Pedestal,Top,2497,-,64,7,0,-100,3.6,2.5,1.3,Good,,
1,Calibration,Top,2500,-,64,7,0,-100,3.6,2.5,1.3,Good,,DUT run 2499 is an extra ped run
1,Bias Scan,Top,2501,19443,64,7,0,-150,4.4,2.5,1.3,Good,,
1,Pedestal,Top,2502,-,64,7,0,-150,4.4,2.5,1.3,Good,,
1,Bias Scan,Top,2503,19444,64,7,0,-200,4.8,2.5,1.3,Good,,
1,Pedestal,Top,2504,-,64,7,0,-200,4.8,2.5,1.3,Good,,
1,Calibration,Top,2505,-,64,7,0,-200,4.8,2.5,1.3,Good,,
1,Bias Scan,Top,2506,19445,64,7,0,-250,4.8,2.5,1.3,Good,,
1,Pedestal,Top,2507,-,64,7,0,-250,4.8,2.5,1.3,Good,,
1,Bias Scan,Top,2508,19446,64,7,0,-300,4.8,2.4,1.3,Good,,
1,Pedestal,Top,2509,-,64,7,0,-300,4.8,2.4,1.3,Good,,
1,Calibration,Top,2510,-,64,7,0,-300,4.8,2.4,1.3,Good,,
1,Bias Scan,Top,2511,19447,64,7,0,-350,4.9,2.4,1.3,Good,,
1,Pedestal,Top,2512,-,64,7,0,-350,4.9,2.4,1.3,Good,,
1,Bias Scan,Top,2513,19448,64,7,0,-400,4.9,2.4,1.3,Good,,
1,Pedestal,Top,2514,-,64,7,0,-400,4.9,2.4,1.3,Good,,
1,Calibration,Top,2515,-,64,7,0,-400,4.9,2.4,1.3,Good,,
1,Bias Scan,Top,2516,19449,64,7,0,-500,5,2.4,1.3,Good,,Do these after all other runs are done
1,Pedestal,Top,2517,-,64,7,0,-500,5,2.4,1.3,Good,,
1,Calibration,Top,2518,-,64,7,0,-500,5,2.4,1.3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Angle,Top,2519,19450,64,7,0,-300,4.8,2.4,1.3,Good,,at FD voltage + 50 V
1,Pedestal,Top,2520,-,64,7,0,-300,4.8,2.4,1.3,Good,,
1,Angle,Top,2521,19451,64,7,5,-300,4.8,2.4,1.3,Good,,
1,Pedestal,Top,2522,-,64,7,5,-300,4.8,2.4,1.3,Good,,
1,Angle,Top,2523,19452,64,7,10,-300,4.8,2.4,1.3,Good,,
1,Pedestal,Top,2524,-,64,7,10,-300,4.8,2.4,1.3,Good,,
1,Angle,Top,2525,19453,64,7,20,-300,4.8,2.4,1.3,Good,,
1,Pedestal,Top,2526,-,64,7,20,-300,4.8,2.4,1.3,Good,,
1,Angle,Top,2527,19454,64,7,-10,-300,4.8,2.4,1.3,Good,,
1,Pedestal,Top,2528,-,64,7,-10,-300,4.8,2.4,1.3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,Top,2529,19455,70,7,0,-50,2.4,2.4,1.2,Good,,
2,Pedestal,Top,2530,-,70,7,0,-50,2.4,2.4,1.2,Good,,
2,Bias Scan,Top,2531,19456,70,7,0,-100,3.6,2.4,1.2,Good,,
2,Pedestal,Top,2532,-,70,7,0,-100,3.6,2.4,1.2,Good,,
2,Calibration,Top,2533,-,70,7,0,-100,3.6,2.4,1.2,Good,,
2,Bias Scan,Top,2534,19457,70,7,0,-150,4.4,2.4,1.2,Good,,
2,Pedestal,Top,2535,-,70,7,0,-150,4.4,2.4,1.2,Good,,
2,Bias Scan,Top,2536,19458,70,7,0,-200,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2537,-,70,7,0,-200,4.8,2.4,1.2,Good,,
2,Calibration,Top,2538,-,70,7,0,-200,4.8,2.4,1.2,Good,,
2,Bias Scan,Top,2539,19459,70,7,0,-250,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2540,-,70,7,0,-250,4.8,2.4,1.2,Good,,
2,Bias Scan,Top,2541,19460,70,7,0,-300,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2542,-,70,7,0,-300,4.8,2.4,1.2,Good,,
2,Calibration,Top,2543,-,70,7,0,-300,4.8,2.4,1.2,Good,,
2,Bias Scan,Top,2544,19461,70,7,0,-350,4.9,2.4,1.2,Good,,
2,Pedestal,Top,2545,-,70,7,0,-350,4.9,2.4,1.2,Good,,
2,Bias Scan,Top,2546,19462,70,7,0,-400,4.9,2.4,1.2,Good,,
2,Pedestal,Top,2547,-,70,7,0,-400,4.9,2.4,1.2,Good,,
2,Calibration,Top,2548,-,70,7,0,-400,4.9,2.4,1.2,Good,,
2,Bias Scan,Top,2549,19463,70,7,0,-500,5,2.4,1.2,Good,,Do these after all other runs are done
2,Pedestal,Top,2550,-,70,7,0,-500,5,2.4,1.2,Good,,
2,Calibration,Top,2551,-,70,7,0,-500,5,2.4,1.2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,Top,2552,19464,70,7,0,-300,4.8,2.4,1.2,Good,,at FD voltage + 50 V
2,Pedestal,Top,2553,-,70,7,0,-300,4.8,2.4,1.2,Good,,
2,Angle,Top,2554,19465,70,7,5,-300,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2555,-,70,7,5,-300,4.8,2.4,1.2,Good,,
2,Angle,Top,2556,19466,70,7,10,-300,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2557,-,70,7,10,-300,4.8,2.4,1.2,Good,,
2,Angle,Top,2558,19467,70,7,20,-300,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2559,-,70,7,20,-300,4.8,2.4,1.2,Good,,
2,Angle,Top,2560,19468,70,7,-10,-300,4.8,2.4,1.2,Good,,
2,Pedestal,Top,2561,-,70,7,-10,-300,4.8,2.4,1.2,Good,,
