BOARD A10_FANIN,FANIN,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,,1475,19000,37,7,0,50,2.4,1.8,0.6,Good,,
1,Pedestal,Top,1474,-,37,7,0,50,2.4,1.8,0.6,Good,,
1,Bias Scan,Top,1476,19001,37,7,0,100,3.5,1.8,0.7,Good,,"
"
1,Pedestal,Top,1477,-,37,7,0,100,3.5,1.8,0.7,Good,,
1,Calibration,Top,1478,-,37,7,0,100,3.5,1.8,0.7,Good,,100k events
1,Bias Scan,Top,1479,19002,37,7,0,150,4.4,1.8,0.7,Good,,
1,Pedestal,Top,1480,-,37,7,0,150,4.4,1.8,0.7,Good,,
1,Bias Scan,Top,1481,19003,37,7,0,200,5,1.8,0.7,Good,,
1,Pedestal,Top,1482,-,37,7,0,200,5,1.8,0.7,Good,,
1,Calibration,Top,1483,-,37,7,0,200,5,1.8,0.7,Good,,
1,Bias Scan,Top,1484,19004,37,7,0,250,5.2,1.8,0.7,Good,,
1,Pedestal,Top,1485,-,37,7,0,250,5.2,1.9,0.7,Good,,
1,Bias Scan,Top,1486,19005,37,7,0,300,5.3,1.9,0.7,Good,,500k events
1,Bias Scan,Top,1487,19006,37,7,0,300,5.3,1.9,0.7,Good,,
1,Pedestal,Top,1488,-,37,7,0,300,5.3,1.9,0.7,Good,,
1,Calibration,Top,1489,-,37,7,0,300,5.3,1.9,0.7,Good,,
1,Bias Scan,Top,1490,19007,37,7,0,350,5.4,1.9,0.7,Good,,
1,Pedestal,Top,1491,-,37,7,0,350,5.4,1.9,0.7,Good,,
1,Bias Scan,Top,1492,19008,37,7,0,400,5.5,1.9,0.7,Good,,500k events
1,Bias Scan,Top,1493,19009,37,7,0,400,5.5,1.9,0.7,Good,,
1,Pedestal,Top,1494,-,37,7,0,400,5.5,1.9,0.7,Good,,
1,Calibration,Top,1495,-,37,7,0,400,5.5,1.9,0.7,Good,,
1,Bias Scan,Top,1496,19010,37,7,0,500,5.7,1.9,0.7,Good,,Do these after all other runs are done
1,Pedestal,Top,1497,-,37,7,0,500,5.7,1.9,0.7,Good,,
1,Calibration,Top,1498,-,37,7,0,500,5.7,1.9,0.7,Good,,
,,Top,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Angle,,1499,19011,37,7,0,300,5.4,1.9,0.7,Good,,at FD voltage + 50 V
1,Pedestal,Top,1500,-,37,7,0,300,5.4,1.9,0.7,Good,,
1,Angle,Top,1501,19012,37,7,5,300,5.4,1.9,0.7,Good,,
1,Pedestal,Top,1502,-,37,7,5,300,5.4,1.9,0.7,Good,,
1,Angle,Top,1503,19013,37,7,10,300,5.4,1.9,0.7,Good,,
1,Pedestal,Top,1504,-,37,7,10,300,5.4,1.9,0.7,Good,,
1,Angle,Top,1505,19014,37,7,20,300,5.4,1.9,0.7,Good,,
1,Pedestal,Top,1506,-,37,7,20,300,5.4,1.9,0.7,Good,,
1,Angle,Top,1507,19015,37,7,-10,300,5.4,1.9,0.7,Good,,
1,Pedestal,Top,1508,-,37,7,-10,300,5.4,1.9,0.7,Good,,
,,Top,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,,1509,19017,43,7,0,50,2.3,1.6,0.7,Good,Bad,Wrong parameter in the Kazu settings list. Fixed
2,Pedestal,Top,1510,-,43,7,0,50,2.3,1.6,0.7,Good,Bad,Wrong parameter in the Kazu settings list. Fixed
2,Bias Scan,Top,1511,19018,43,7,0,100,3.4,1.7,0.7,Good,Bad,Wrong parameter in the Kazu settings list. Fixed
,,Top,,,,,,,,,,,,
2,Bias Scan,,1512,19019,43,7,0,50,2.3,1.7,0.7,Good,,
2,Pedestal,Top,1513,-,43,7,0,50,2.3,1.7,0.7,Good,,
2,Bias Scan,Top,1514,19020,43,7,0,100,3.5,1.8,0.7,Good,,
2,Pedestal,Top,1515,-,43,7,0,100,3.5,1.8,0.7,Good,,
2,Calibration,Top,1516,-,43,7,0,100,3.5,1.8,0.7,Good,,
2,Bias Scan,Top,1517,19021,43,7,0,150,4.3,1.9,0.7,Good,,
2,Pedestal,Top,1518,-,43,7,0,150,4.3,1.9,0.7,Good,,
2,Bias Scan,Top,1519,19022,43,7,0,200,4.9,1.9,0.7,Good,,
2,Pedestal,Top,1520,-,43,7,0,200,4.9,1.9,0.7,Good,,
2,Calibration,Top,1521,-,43,7,0,200,4.9,1.9,0.7,Good,,
2,Bias Scan,Top,1522,19023,43,7,0,250,5.2,1.9,0.7,Good,,
2,Pedestal,Top,1523,-,43,7,0,250,5.2,1.9,0.7,Good,,
2,Bias Scan,Top,1524,19024,43,7,0,300,5.3,1.9,0.7,Good,,
2,Pedestal,Top,1525,-,43,7,0,300,5.3,1.9,0.7,Good,,
2,Calibration,Top,1526,-,43,7,0,300,5.3,1.9,0.7,Good,,
2,Bias Scan,Top,1527,19025,43,7,0,350,5.4,1.9,0.7,Good,,
2,Pedestal,Top,1528,-,43,7,0,350,5.4,1.9,0.7,Good,,
2,Bias Scan,Top,1529,19026,43,7,0,400,5.5,1.9,0.7,Good,,
2,Pedestal,Top,1530,-,43,7,0,400,5.5,1.9,0.7,Good,,
2,Calibration,Top,1531,-,43,7,0,400,5.5,1.9,0.7,Good,,
2,Bias Scan,Top,1532,19027,43,7,0,500,5.6,2,0.7,Good,,
2,Pedestal,Top,1533,-,43,7,0,500,5.6,2,0.7,Good,,
2,Calibration,Top,1534,-,43,7,0,500,5.6,2,0.7,Good,,
,,Top,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,,1535,19028,43,7,0,300,5.3,2,0.7,Good,,at FD voltage + 50 V
2,Pedestal,Top,1536,-,43,7,0,300,5.3,2,0.7,Good,,
2,Angle,Top,1537,19029,43,7,5,300,5.3,2,0.7,Good,,
2,Pedestal,Top,1538,-,43,7,5,300,5.3,2,0.7,Good,,
2,Angle,Top,1539,19030,43,7,10,300,5.3,2,0.7,Good,,
2,Pedestal,Top,1540,-,43,7,10,300,5.3,2,0.7,Good,,
2,Angle,Top,1541,19031,43,7,20,300,5.3,2,0.7,Good,Bad,"100events only. ""High rate"" was unchecked"
2,Angle,Top,1542,19032,43,7,20,300,5.3,2,0.7,Good,,
2,Pedestal,Top,1543,-,43,7,20,300,5.3,2,0.7,Good,,
2,Angle,Top,1544,19033,43,7,-10,300,5.3,2,0.7,Good,,
2,Pedestal,Top,1545,-,43,7,-10,300,5.3,2,0.7,Good,,
,,Top,,,,,,,,,,,,
