BOARD A12_FANIN,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,scheme,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,Top,1679,19091,64,7,0,50,2.5,2.2,0.7,Good,,
1,Pedestal,Top,1680,-,64,7,0,50,2.5,2.2,0.7,Good,,
1,Bias Scan,Top,1681,19092,64,7,0,100,3.6,2.2,0.7,Good,,
1,Pedestal,Top,1682,-,64,7,0,100,3.6,2.2,0.7,Good,,
1,Calibration,Top,1683,-,64,7,0,100,3.6,2.2,0.7,Good,,
1,Bias Scan,Top,1684,19093,64,7,0,150,4.5,2.2,0.7,Good,,
1,Pedestal,Top,1685,-,64,7,0,150,4.5,2.2,0.7,Good,,
1,Bias Scan,Top,1686,19094,64,7,0,200,5.1,2.2,0.7,Good,,
1,Pedestal,Top,1687,-,64,7,0,200,5.1,2.2,0.7,Good,,
1,Calibration,Top,1688,-,64,7,0,200,5.1,2.2,0.7,Good,,
1,Bias Scan,Top,1689,19095,64,7,0,250,5.4,2.2,0.7,Good,,
1,Pedestal,Top,1690,,64,7,0,250,5.4,2.2,0.7,Good,,
1,Bias Scan,Top,1691,19096,64,7,0,300,5.5,2.2,0.7,Good,,
1,Pedestal,Top,1692,-,64,7,0,300,5.5,2.2,0.7,Good,,
1,Calibration,Top,1693,-,64,7,0,300,5.5,2.2,0.7,Good,,
1,Bias Scan,Top,1694,19097,64,7,0,350,5.6,2.2,0.7,Good,,
1,Pedestal,Top,1695,-,64,7,0,350,5.6,2.2,0.7,Good,,
1,Bias Scan,Top,1696,19098,64,7,0,400,5.7,2.2,0.7,Good,,
1,Pedestal,Top,1697,-,64,7,0,400,5.7,2.2,0.7,Good,,
1,Calibration,Top,1698,-,64,7,0,400,5.7,2.2,0.7,Good,,
1,Bias Scan,Top,1699,19099,64,7,0,500,5.8,2.2,0.7,Good,,Do these after all other runs are done
1,Pedestal,Top,1700,-,64,7,0,500,5.8,2.2,0.7,Good,,
1,Calibration,Top,1701,-,64,7,0,500,5.8,2.2,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Angle,Top,1702,19100,64,7,0,300,5.5,2.2,0.7,Good,,at FD voltage + 50 V
1,Pedestal,Top,1703,-,64,7,0,300,5.5,2.2,0.7,Good,,
1,Angle,Top,1704,19101,64,7,5,300,5.5,2.2,0.7,Good,,
1,Pedestal,Top,1705,-,64,7,5,300,5.5,2.2,0.7,Good,,
1,Angle,Top,1706,19102,64,7,10,300,5.5,2.3,0.8,Good,,
1,Pedestal,Top,1707,-,64,7,10,300,5.5,2.3,0.8,Good,,
1,Angle,Top,1708,19103,64,7,20,300,5.5,2.3,0.8,Good,,
1,Pedestal,Top,1709,-,64,7,20,300,5.5,2.2,0.7,Good,,
1,Angle,Top,1710,19104,64,7,-10,300,5.5,2.2,0.7,Good,,
1,Pedestal,Top,1711,-,64,7,-10,300,5.5,2.2,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,Top,1712,19105,70,7,0,50,2.5,2.2,0.7,Good,,
2,Pedestal,Top,1713,-,70,7,0,50,2.5,2.2,0.7,Good,,
2,Bias Scan,Top,1714,19106,70,7,0,100,3.6,2.2,0.7,Good,,
2,Pedestal,Top,1715,-,70,7,0,100,3.6,2.2,0.7,Good,,
2,Calibration,Top,1716,-,70,7,0,100,3.6,2.2,0.7,Good,,
2,Bias Scan,Top,1717,19107,70,7,0,150,4.5,2.2,0.7,Good,,
2,Pedestal,Top,1718,-,70,7,0,150,4.5,2.2,0.7,Good,,
2,Bias Scan,Top,1719,19108,70,7,0,200,5.1,2.3,0.7,Good,,
2,Pedestal,Top,1720,-,70,7,0,200,5.1,2.3,0.7,Good,,
2,Calibration,Top,1721,-,70,7,0,200,5.1,2.3,0.7,Good,,
2,Bias Scan,Top,1722,19109,70,7,0,250,5.4,2.3,0.7,Good,,
2,Pedestal,Top,1723,-,70,7,0,250,5.4,2.3,0.7,Good,,
2,Bias Scan,Top,1724,19110,70,7,0,300,5.5,2.3,0.7,Good,,
2,Pedestal,Top,1725,-,70,7,0,300,5.5,2.3,0.7,Good,,
2,Calibration,Top,1726,-,70,7,0,300,5.5,2.3,0.7,Good,,
2,Bias Scan,Top,1727,19111,70,7,0,350,5.6,2.3,0.7,Good,,
2,Pedestal,Top,1728,-,70,7,0,350,5.6,2.3,0.7,Good,,
2,Bias Scan,Top,1729,19112,70,7,0,400,5.7,2.3,0.7,Good,,
2,Pedestal,Top,1730,-,70,7,0,400,5.7,2.3,0.7,Good,,
2,Calibration,Top,1731,-,70,7,0,400,5.7,2.3,0.7,Good,,
2,Bias Scan,Top,1732,19113,70,7,0,500,5.8,2.3,0.7,Good,,Do these after all other runs are done
2,Pedestal,Top,1733,-,70,7,0,500,5.8,2.3,0.7,Good,,
2,Calibration,Top,1734,-,70,7,0,500,5.8,2.3,0.7,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,Top,1735,19114,70,7,0,300,5.5,2.2,0.7,Good,,at FD voltage + 50 V
2,Pedestal,Top,1736,-,70,7,0,300,5.5,2.2,0.7,Good,,
2,Angle,Top,1737,19115,70,7,5,300,5.5,2.2,0.7,Good,,
2,Pedestal,Top,1738,-,70,7,5,300,5.5,2.2,0.7,Good,,
2,Angle,Top,1739,19116,70,7,10,300,5.5,2.2,0.7,Good,,
2,Pedestal,Top,1740,-,70,7,10,300,5.5,2.2,0.7,Good,,
2,Angle,Top,1741,19117,70,7,20,300,5.5,2.3,0.7,Good,,
2,Pedestal,Top,1742,-,70,7,20,300,5.5,2.3,0.7,Good,,
2,Angle,Top,1743,19118,70,7,-10,300,5.5,2.3,0.7,,,
2,Pedestal,Top,1744,-,70,7,-10,300,,,,,,
