BOARD A13_FANIN,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,scheme,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,1897,19187,37,7,0,100,18,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Pedestal,Top,1898,,37,7,0,100,18,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Bias,Top,1895,19186,37,7,0,200,25,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Pedestal,Top,1896,,37,7,0,200,25,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Bias,Top,1893,19185,37,7,0,300,26,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Pedestal,Top,1894,,37,7,0,300,26,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Bias,Top,1891,19184,37,7,0,400,27,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
1,Pedestal,Top,1892,,37,7,0,400,27,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
2,Bias,Top,1883,19180,43,7,0,100,18,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Pedestal,Top,1884,,43,7,0,100,18,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Bias,Top,1885,19181,43,7,0,200,24,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Pedestal,Top,1886,,43,7,0,200,24,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Bias,Top,1887,19182,43,7,0,300,26,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Pedestal,Top,1888,,43,7,0,300,26,-1.4,1.1,Good,Bad,Taken at unknown angle ¬20deg
2,Bias,Top,1889,19183,43,7,0,400,27,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
2,Pedestal,Top,1890,,43,7,0,400,27,-1.4,1,Good,Bad,Taken at unknown angle ¬20deg
,,,,,,,,,,,,,,
1,Bias,Top,1932,19204,37,7,0,100,19,-1.3,1,Good,,
1,Pedestal,Top,1933,-,37,7,0,100,18.9,-1.3,1,Good,,
1,Bias,Top,1934,19205,37,7,0,200,24,-1.3,1,Good,,
1,Pedestal,Top,1935,-,37,7,0,200,24,-1.3,1,Good,,
1,Bias,Top,1936,19206,37,7,0,300,25.1,-1.4,0.9,Good,,
1,Pedestal,Top,1937,-,37,7,0,300,25.1,-1.4,0.9,Good,,
1,Bias,Top,1938,19207,37,7,0,400,25.8,-1.4,0.9,Good,,
1,Pedestal,Top,1939,-,37,7,0,400,25.8,-1.4,0.9,Good,,
2,Bias,Top,1941,19209,43,7,0,100,18.3,-1.4,0.9,Good,,Numbers are switched between ped and run
2,Pedestal,Top,1940,-,43,7,0,100,18.3,-1.4,0.9,Good,,Numbers are switched between ped and run
2,Bias,Top,1942,19210,43,7,0,200,21.4,-1.7,0.8,Good,,
2,Pedestal,Top,1943,-,43,7,0,200,21.4,-1.7,0.8,Good,,
2,Bias,Top,1944,19211,43,7,0,300,22.7,-1.7,0.8,Good,,
2,Pedestal,Top,1945,-,43,7,0,300,22.7,-1.7,0.8,Good,,
2,Bias,Top,1946,19212,43,7,0,400,23.5,-1.7,0.8,Good,,
2,Pedestal,Top,1947,-,43,7,0,400,23.5,-1.7,0.8,Good,,
