BOARD A3_LOWER,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note,,
Sector,Purpose,,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),,,
,,,,,,,,,,,,,,,,
1,Bias Scan,Top,2228,19328,37,7,0,50,0.5,0.5,2.5,Good,Bad,16ns cable delay on,,The cable delay should have been removed in order to take data using the nominal beetle parameters.
1,Pedestal,Top,2229,-,37,7,0,50,0.5,0.5,2.5,Good,Bad,,,
1,Bias Scan,Top,2230,19329,37,7,0,100,0.6,-0.7,2,Bad,Bad,No beam,,
1,Bias Scan,Top,2231,19330,37,7,0,100,0.5,-2.6,1.6,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2232,-,37,7,0,100,0.5,-2.6,1.6,Good,Bad,,,
1,Calibration,Top,2233,-,37,7,0,100,0.5,-2.6,1.6,Good,Bad,,,
1,Bias Scan,Top,2234,19331,37,7,0,150,0.6,-2.7,1.6,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2235,-,37,7,0,150,0.6,-2.7,1.6,Good,Bad,,,
1,Bias Scan,Top,2236,19332,37,7,0,200,0.7,-2.7,1.6,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2237,-,37,7,0,200,0.7,-2.7,1.6,Good,Bad,,,
1,Calibration,Top,2238,-,37,7,0,200,0.7,-2.7,1.6,Good,Bad,,,
1,Bias Scan,Top,2239,19333,37,7,0,250,0.8,-2.8,1.6,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2240,-,37,7,0,250,0.8,-2.8,1.6,Good,Bad,,,
1,Bias Scan,Top,2241,19334,37,7,0,300,0.9,-2.8,1.3,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2242,-,37,7,0,300,0.9,-2.8,1.3,Good,Bad,,,
1,Calibration,Top,2243,-,37,7,0,300,0.9,-2.8,1.3,Good,Bad,,,
1,Bias Scan,Top,2244,19335,37,7,0,350,0.9,-2.8,1.3,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2245,-,37,7,0,350,0.9,-2.8,1.3,Good,Bad,,,
1,Bias Scan,Top,2246,19336,37,7,0,400,0.9,-2.8,1.3,Good,Bad,16ns cable delay on,,
1,Pedestal,Top,2247,-,37,7,0,400,0.9,-2.8,1.3,Good,Bad,,,
1,Calibration,Top,2248,-,37,7,0,400,0.9,-2.8,1.3,Good,Bad,,,
,,,,,,,,,,,,,,,,
1,Bias Scan,Top,2249,19337,37,7,0,50,0.3,-2.8,1.3,Good,,,,
1,Pedestal,Top,2250,-,37,7,0,50,0.3,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2251,19338,37,7,0,100,0.5,-2.8,1.3,Good,,,,
1,Pedestal,Top,2252,-,37,7,0,100,0.5,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2253,19339,37,7,0,150,0.6,-2.8,1.3,Good,,,,
1,Pedestal,Top,2254,-,37,7,0,150,0.6,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2255,19340,37,7,0,200,0.7,-2.8,1.3,Good,,,,
1,Pedestal,Top,2256,-,37,7,0,200,0.7,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2257,19341,37,7,0,250,0.8,-2.8,1.3,Good,,,,
1,Pedestal,Top,2258,-,37,7,0,250,0.8,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2259,19342,37,7,0,300,0.9,-2.8,1.3,Good,,,,
1,Pedestal,Top,2260,-,37,7,0,300,0.9,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2261,19343,37,7,0,350,0.9,-2.8,1.3,Good,,,,
1,Pedestal,Top,2262,-,37,7,0,350,0.9,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2263,19344,37,7,0,400,0.9,-2.8,1.3,Good,,,,
1,Pedestal,Top,2264,-,37,7,0,400,0.9,-2.8,1.3,Good,,,,
1,Bias Scan,Top,2265,19345,37,7,0,500,0.9,-2.8,1.3,Good,,,,
1,Pedestal,Top,2266,-,37,7,0,500,0.9,-2.8,1.3,Good,,,,
1,Calibration,Top,2267,-,37,7,0,500,0.9,-2.8,1.3,Good,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,Angle,Top,2358,19384,37,7,0,300,0.87,-3,1,GOOD,,at FD voltage + 50 V,,
1,Pedestal,Top,2359,-,37,7,0,300,0.87,-3,1,GOOD,,,,
1,Angle,Top,2360,19385,37,7,5,300,0.87,-3,1,GOOD,,,,
1,Pedestal,Top,2361,-,37,7,5,300,0.87,-3,1,GOOD,,,,
1,Angle,Top,2362,19386,37,7,10,300,0.87,-3,1,GOOD,,,,
1,Pedestal,Top,2363,-,37,7,10,300,0.87,-3,1,GOOD,,,,
1,Angle,Top,2364,19387,37,7,20,300,0.87,-3,1,GOOD,,,,
1,Pedestal,Top,2365,-,37,7,20,300,0.87,-3,1,GOOD,,,,
1,Angle,Top,2366,19388,37,7,-10,300,0.87,-3,1,GOOD,,,,
1,Pedestal,Top,2367,-,37,7,-10,300,0.87,-3,1,GOOD,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,Bias Scan,Top,2268,19346,43,7,0,50,0.3,-2.8,1.3,,,,,
2,Pedestal,Top,2269,-,43,7,0,50,0.3,-2.8,1.3,,,,,
2,Bias Scan,Top,2270,19347,43,7,0,100,0.5,-2.8,1.3,,,,,
2,Pedestal,Top,2271,-,43,7,0,100,0.5,-2.8,1.3,,,,,
2,Calibration,Top,2272,-,43,7,0,100,0.5,-2.8,1.3,,,,,
2,Bias Scan,Top,2273,19348,43,7,0,150,0.6,-2.8,1.3,,,,,
2,Pedestal,Top,2274,-,43,7,0,150,0.6,-2.8,1.3,,,,,
2,Bias Scan,Top,2275,19349,43,7,0,200,0.7,-2.8,1.3,,,,,
2,Pedestal,Top,2276,-,43,7,0,200,0.7,-2.8,1.3,,,,,
2,Calibration,Top,2277,-,43,7,0,200,0.7,-2.8,1.3,,,,,
2,Bias Scan,Top,2278,19350,43,7,0,250,0.8,-2.8,1.3,,,,,
