BOARD A5_LOWER,FANIN,Bias,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
,,,,,,,,,,,,,,
1,Bias Scan,Top,2291,19355,64,7,0,50,0.3,-2.7,1.3,Good,,
1,Pedestal,Top,2292,-,64,7,0,50,0.3,-2.7,1.3,Good,,
1,Bias Scan,Top,2293,19356,64,7,0,100,0.5,-2.7,1.3,Good,,
1,Pedestal,Top,2294,-,64,7,0,100,0.5,-2.7,1.3,Good,,
1,Calibration,Top,2295,-,64,7,0,100,0.5,-2.7,1.3,Good,,
1,Bias Scan,Top,2296,19357,64,7,0,150,0.6,-2.7,1.3,Good,,
1,Pedestal,Top,2297,-,64,7,0,150,0.6,-2.7,1.3,Good,,
1,Bias Scan,Top,2298,19358,64,7,0,200,0.7,-2.7,1.3,Good,,
1,Pedestal,Top,2299,-,64,7,0,200,0.7,-2.7,1.3,Good,,
1,Calibration,Top,2300,-,64,7,0,200,0.7,-2.7,1.3,Good,,
1,Bias Scan,Top,2301,19359,64,7,0,250,0.8,-2.7,1.3,Good,,
1,Pedestal,Top,2302,-,64,7,0,250,0.8,-2.7,1.3,Good,,
1,Bias Scan,Top,2303,19360,64,7,0,300,0.9,-2.7,1.3,Good,,
1,Pedestal,Top,2304,-,64,7,0,300,0.9,-2.7,1.3,Good,,
1,Calibration,Top,2305,-,64,7,0,300,0.9,-2.7,1.3,Good,,
1,Bias Scan,Top,2306,19361,64,7,0,350,0.9,-2.7,1.3,Good,,
1,Pedestal,Top,2307,-,64,7,0,350,0.9,-2.7,1.3,Good,,
1,Bias Scan,Top,2308,19362,64,7,0,400,0.9,-2.7,1.3,Good,,
1,Pedestal,Top,2309,-,64,7,0,400,0.9,-2.7,1.3,Good,,
1,Calibration,Top,2310,-,64,7,0,400,0.9,-2.7,1.3,Good,,
1,Bias Scan,Top,2311,19363,64,7,0,500,0.9,-2.7,1.3,Good,,Do these after all other runs are done
1,Pedestal,Top,2312,-,64,7,0,500,0.9,-2.7,1.3,Good,,
1,Calibration,Top,2313,-,64,7,0,500,0.9,-2.7,1.3,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Angle,Top,2347,19378,64,7,0,300,0.87,-2.7,1.3,GOOD,,at FD voltage + 50 V
1,Pedestal,Top,2348,-,64,7,0,300,0.87,-2.7,1.3,GOOD,,
1,Angle,Top,2349,19379,64,7,5,300,0.87,-2.7,1.3,GOOD,,
1,Pedestal,Top,2350,-,64,7,5,300,0.87,-2.7,1.3,GOOD,,
1,Angle,Top,2351,19380,64,7,10,300,0.87,-2.7,1.3,GOOD,,
1,Pedestal,Top,2352,-,64,7,10,300,0.87,-2.7,1.3,GOOD,,
1,Angle,Top,2353,19381,64,7,20,300,0.87,-2.7,1.3,GOOD,,
1,Pedestal,Top,2354,-,64,7,20,300,0.87,-2.7,1.3,GOOD,,
1,Angle,Top,2355,19382,64,7,-10,300,0.87,-2.7,1.3,GOOD,,
1,Pedestal,Top,2356,-,64,7,-10,300,0.87,-2.7,1.3,GOOD,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias Scan,Top,2314,19364,70,7,0,50,0.3,-2.7,1.3,GOOD,,
2,Pedestal,Top,2315,-,70,7,0,50,0.3,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2316,19365,70,7,0,100,0.45,-2.7,1.3,GOOD,,
2,Pedestal,Top,2317,-,70,7,0,100,0.45,-2.7,1.3,GOOD,,
2,Calibration,Top,2318,-,70,7,0,100,0.45,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2319,19366,70,7,0,150,0.58,-2.7,1.3,GOOD,,
2,Pedestal,Top,2320,-,70,7,0,150,0.58,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2321,19367,70,7,0,200,0.69,-2.7,1.3,GOOD,,
2,Pedestal,Top,2322,-,70,7,0,200,0.69,-2.7,1.3,GOOD,,
2,Calibration,Top,2323,-,70,7,0,200,0.69,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2324,19368,70,7,0,250,0.79,-2.7,1.3,GOOD,,
2,Pedestal,Top,2325,-,70,7,0,250,0.79,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2326,19369,70,7,0,300,0.87,-2.7,1.3,GOOD,,
2,Pedestal,Top,2327,-,70,7,0,300,0.87,-2.7,1.3,GOOD,,
2,Calibration,Top,2328,-,70,7,0,300,0.87,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2329,19370,70,7,0,350,0.99,-2.7,1.3,GOOD,,
2,Pedestal,Top,2330,-,70,7,0,350,0.99,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2331,19371,70,7,0,400,0.92,-2.7,1.3,GOOD,,
2,Pedestal,Top,2332,,70,7,0,400,0.92,-2.7,1.3,GOOD,,
2,Calibration,Top,2333,-,70,7,0,400,0.92,-2.7,1.3,GOOD,,
2,Bias Scan,Top,2334,19372,70,7,0,500,0.95,-2.7,1.3,GOOD,,Do these after all other runs are done
2,Pedestal,Top,2335,-,70,7,0,500,0.95,-2.7,1.3,GOOD,,
2,Calibration,Top,2336,-,70,7,0,500,0.95,-2.7,1.3,GOOD,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Angle,Top,2337,19373,70,7,0,300,0.86,-2.7,1.3,GOOD,,might be mising Kepler run number in filename
2,Pedestal,Top,2338,-,70,7,0,300,0.86,-2.7,1.3,GOOD,,
2,Angle,Top,2339,19374,70,7,5,300,0.86,-2.7,1.3,GOOD,,
2,Pedestal,Top,2340,-,70,7,5,300,0.86,-2.7,1.3,GOOD,,
2,Angle,Top,2341,19375,70,7,10,300,0.86,-2.7,1.3,GOOD,,
2,Pedestal,Top,2342,-,70,7,10,300,0.86,-2.7,1.3,GOOD,,
2,Angle,Top,2343,19376,70,7,20,300,0.86,-2.7,1.3,GOOD,,
2,Pedestal,Top,2344,-,70,7,20,300,0.86,-2.7,1.3,GOOD,,
2,Angle,Top,2345,19377,70,7,-10,300,0.86,-2.7,1.3,GOOD,,
